network,baseline_q,baseline_communities,bc_post_attack_q,dc_post_attack_q,linked_bc_post_attack_q,bc_delta_q,dc_delta_q,linked_bc_delta_q
transport,0.9544,60,0.9547,0.9546,0.9544,0.0003,0.0001,-0.0
power,0.978,115,0.9782,0.978,0.9776,0.0002,-0.0,-0.0004
