Source,Target,Weight
3460.0,3461.0,1.0
3460.0,9138.0,1.0
3460.0,12071.0,1.0
3461.0,7050.0,1.0
3461.0,6035.0,1.0
15495.0,4744.0,1.0
4744.0,10410.0,1.0
4744.0,20321.0,1.0
7050.0,12237.0,1.0
7563.0,8063.0,1.0
7563.0,10563.0,1.0
17170.0,15944.0,1.0
17170.0,16457.0,1.0
17170.0,20379.0,1.0
3859.0,969.0,1.0
3859.0,17214.0,1.0
6035.0,11981.0,1.0
7573.0,13216.0,1.0
7573.0,18507.0,1.0
7573.0,7667.0,1.0
17046.0,4968.0,1.0
5373.0,1843.0,1.0
5373.0,12709.0,1.0
5373.0,17214.0,1.0
20379.0,4969.0,1.0
20379.0,16363.0,1.0
20379.0,16457.0,1.0
20379.0,20325.0,1.0
12316.0,12237.0,1.0
12316.0,18509.0,1.0
19228.0,7124.0,1.0
19228.0,19637.0,1.0
13216.0,18509.0,1.0
8481.0,7124.0,1.0
417.0,7667.0,1.0
12709.0,17214.0,1.0
12071.0,16488.0,1.0
169.0,170.0,1.0
169.0,5228.0,1.0
169.0,10411.0,1.0
170.0,6870.0,1.0
10411.0,10410.0,1.0
10411.0,12886.0,1.0
10410.0,15944.0,1.0
10153.0,16959.0,1.0
10153.0,18158.0,1.0
5418.0,11080.0,1.0
5418.0,11981.0,1.0
9395.0,16369.0,1.0
1843.0,335.0,1.0
1843.0,18514.0,1.0
19637.0,20328.0,1.0
5298.0,16624.0,1.0
5298.0,16488.0,1.0
11321.0,11322.0,1.0
11322.0,7123.0,1.0
11322.0,14672.0,1.0
16959.0,14947.0,1.0
16959.0,18158.0,1.0
16703.0,12886.0,1.0
16703.0,16761.0,1.0
10563.0,7124.0,1.0
10563.0,16837.0,1.0
16837.0,7123.0,1.0
16837.0,14672.0,1.0
15944.0,12886.0,1.0
969.0,14672.0,1.0
11080.0,10862.0,1.0
18507.0,18509.0,1.0
18514.0,10863.0,1.0
7123.0,7124.0,1.0
7123.0,20321.0,1.0
6870.0,5228.0,1.0
6870.0,14947.0,1.0
12886.0,5228.0,1.0
14947.0,16761.0,1.0
20327.0,16369.0,1.0
20327.0,20328.0,1.0
5224.0,3837.0,1.0
5224.0,5225.0,1.0
5224.0,7667.0,1.0
4968.0,4969.0,1.0
10863.0,10862.0,1.0
7667.0,3837.0,1.0
