Source,Target,Weight
4098.0,6310.0,1.0
4098.0,4889.0,1.0
4098.0,32571.0,1.0
26631.0,30789.0,1.0
26636.0,15428.0,1.0
20494.0,15428.0,1.0
30736.0,4148.0,1.0
30736.0,19431.0,1.0
30736.0,30737.0,1.0
4113.0,3518.0,1.0
4113.0,4114.0,1.0
4113.0,11284.0,1.0
4114.0,7487.0,1.0
4114.0,8329.0,1.0
32795.0,10960.0,1.0
32795.0,37315.0,1.0
32795.0,36944.0,1.0
12316.0,2350.0,1.0
12316.0,12174.0,1.0
12316.0,16797.0,1.0
4130.0,21300.0,1.0
4130.0,28066.0,1.0
4130.0,23680.0,1.0
4130.0,18030.0,1.0
34866.0,17164.0,1.0
4148.0,3234.0,1.0
4148.0,7203.0,1.0
4148.0,8081.0,1.0
18486.0,8031.0,1.0
18486.0,22110.0,1.0
18486.0,28971.0,1.0
30778.0,22132.0,1.0
30778.0,28626.0,1.0
30778.0,29390.0,1.0
30778.0,32705.0,1.0
28731.0,21781.0,1.0
4154.0,843.0,1.0
4154.0,8523.0,1.0
4154.0,13151.0,1.0
14400.0,28066.0,1.0
12352.0,12494.0,1.0
8257.0,15488.0,1.0
30789.0,33616.0,1.0
30789.0,11091.0,1.0
18502.0,2673.0,1.0
30794.0,19586.0,1.0
6221.0,5181.0,1.0
14413.0,1964.0,1.0
14413.0,4475.0,1.0
14413.0,12562.0,1.0
34895.0,30229.0,1.0
28750.0,20964.0,1.0
36947.0,3769.0,1.0
10330.0,464.0,1.0
92.0,3090.0,1.0
4189.0,2301.0,1.0
4189.0,4190.0,1.0
4189.0,7843.0,1.0
4190.0,33792.0,1.0
4190.0,17333.0,1.0
20581.0,4514.0,1.0
26726.0,6674.0,1.0
12390.0,11091.0,1.0
16499.0,6410.0,1.0
32884.0,22033.0,1.0
8311.0,4671.0,1.0
8311.0,17145.0,1.0
8311.0,9475.0,1.0
2167.0,3501.0,1.0
30842.0,35960.0,1.0
30842.0,8541.0,1.0
30842.0,26174.0,1.0
4224.0,30709.0,1.0
18561.0,3066.0,1.0
18561.0,30229.0,1.0
18561.0,31210.0,1.0
26767.0,30229.0,1.0
26767.0,31147.0,1.0
26767.0,30470.0,1.0
14484.0,8058.0,1.0
14484.0,20895.0,1.0
14484.0,20715.0,1.0
14484.0,26433.0,1.0
32916.0,13151.0,1.0
30872.0,13218.0,1.0
26779.0,9848.0,1.0
162.0,12672.0,1.0
162.0,6100.0,1.0
162.0,13652.0,1.0
8356.0,5313.0,1.0
8356.0,18352.0,1.0
8356.0,23900.0,1.0
6310.0,35814.0,1.0
6310.0,5773.0,1.0
8361.0,4781.0,1.0
8361.0,10619.0,1.0
8361.0,24076.0,1.0
30892.0,32056.0,1.0
32945.0,31686.0,1.0
18610.0,11690.0,1.0
18610.0,17594.0,1.0
18610.0,23532.0,1.0
8374.0,1573.0,1.0
8374.0,32485.0,1.0
8374.0,14595.0,1.0
26829.0,26576.0,1.0
26829.0,26830.0,1.0
26829.0,30709.0,1.0
26829.0,30349.0,1.0
16590.0,8541.0,1.0
16590.0,26620.0,1.0
16590.0,20127.0,1.0
12494.0,2514.0,1.0
12494.0,4888.0,1.0
16591.0,4592.0,1.0
16591.0,9059.0,1.0
16591.0,22786.0,1.0
4311.0,36561.0,1.0
4311.0,23680.0,1.0
4311.0,7267.0,1.0
8408.0,3425.0,1.0
30942.0,26433.0,1.0
28897.0,4596.0,1.0
35043.0,31406.0,1.0
35044.0,31686.0,1.0
22758.0,8495.0,1.0
35048.0,12174.0,1.0
20715.0,3145.0,1.0
20715.0,32320.0,1.0
10477.0,1243.0,1.0
26874.0,33551.0,1.0
2301.0,3592.0,1.0
2301.0,3769.0,1.0
14595.0,1151.0,1.0
14595.0,2467.0,1.0
6410.0,11992.0,1.0
6410.0,15221.0,1.0
28942.0,28626.0,1.0
30992.0,30993.0,1.0
30993.0,34569.0,1.0
30993.0,3123.0,1.0
18705.0,33616.0,1.0
8470.0,35885.0,1.0
8470.0,8034.0,1.0
8470.0,11821.0,1.0
28951.0,24343.0,1.0
10521.0,2599.0,1.0
10521.0,11652.0,1.0
10521.0,20032.0,1.0
28958.0,748.0,1.0
31012.0,31147.0,1.0
10540.0,18030.0,1.0
10540.0,15767.0,1.0
10540.0,23139.0,1.0
2350.0,11814.0,1.0
2350.0,4908.0,1.0
8495.0,33370.0,1.0
8495.0,8496.0,1.0
8496.0,33126.0,1.0
8496.0,27121.0,1.0
8501.0,34484.0,1.0
8501.0,3145.0,1.0
8501.0,4833.0,1.0
8501.0,13532.0,1.0
31039.0,17094.0,1.0
10561.0,12904.0,1.0
8523.0,37490.0,1.0
8523.0,24092.0,1.0
10579.0,33878.0,1.0
10579.0,35770.0,1.0
10579.0,27986.0,1.0
35163.0,26174.0,1.0
8541.0,10619.0,1.0
8541.0,21781.0,1.0
31070.0,4592.0,1.0
31070.0,29976.0,1.0
31070.0,30089.0,1.0
2411.0,568.0,1.0
22903.0,16175.0,1.0
14711.0,14712.0,1.0
14711.0,18255.0,1.0
14711.0,22135.0,1.0
4474.0,4475.0,1.0
4475.0,16175.0,1.0
31100.0,32295.0,1.0
10619.0,30183.0,1.0
12672.0,36337.0,1.0
12672.0,32495.0,1.0
27013.0,1608.0,1.0
27013.0,3528.0,1.0
27013.0,32388.0,1.0
27013.0,30167.0,1.0
37265.0,18352.0,1.0
14745.0,17666.0,1.0
14745.0,20070.0,1.0
14745.0,32460.0,1.0
16797.0,3170.0,1.0
16797.0,15517.0,1.0
20895.0,1371.0,1.0
20895.0,18352.0,1.0
4514.0,13114.0,1.0
4514.0,22135.0,1.0
2467.0,734.0,1.0
2467.0,9935.0,1.0
31147.0,31939.0,1.0
4524.0,8745.0,1.0
4524.0,15108.0,1.0
16817.0,1456.0,1.0
16817.0,1964.0,1.0
16817.0,7833.0,1.0
37299.0,3592.0,1.0
10678.0,7053.0,1.0
27064.0,9905.0,1.0
27064.0,16324.0,1.0
27064.0,28640.0,1.0
25017.0,17594.0,1.0
25017.0,18938.0,1.0
25017.0,23609.0,1.0
442.0,29510.0,1.0
14787.0,17054.0,1.0
14787.0,23474.0,1.0
14787.0,28394.0,1.0
18891.0,24300.0,1.0
16845.0,16846.0,1.0
16845.0,18292.0,1.0
16845.0,17164.0,1.0
20942.0,7421.0,1.0
16846.0,4666.0,1.0
16846.0,19872.0,1.0
464.0,3331.0,1.0
464.0,35878.0,1.0
27086.0,31976.0,1.0
22996.0,17594.0,1.0
22996.0,18002.0,1.0
22996.0,21401.0,1.0
22996.0,23764.0,1.0
6620.0,8158.0,1.0
20958.0,13091.0,1.0
16865.0,25755.0,1.0
14820.0,12174.0,1.0
20964.0,16937.0,1.0
20964.0,23107.0,1.0
31210.0,13821.0,1.0
31210.0,20032.0,1.0
4592.0,13790.0,1.0
4594.0,3769.0,1.0
