Source,Target,Weight
10368.0,10367.0,1.0
16522.0,22059.0,1.0
19469.0,17179.0,1.0
17179.0,16844.0,1.0
17179.0,28534.0,1.0
17179.0,20539.0,1.0
9125.0,8744.0,1.0
9125.0,22059.0,1.0
9125.0,22079.0,1.0
27431.0,22079.0,1.0
8744.0,21489.0,1.0
8744.0,20539.0,1.0
24744.0,22059.0,1.0
13608.0,16844.0,1.0
13356.0,10698.0,1.0
13356.0,16690.0,1.0
13356.0,18498.0,1.0
24752.0,230.0,1.0
20539.0,23121.0,1.0
22079.0,10698.0,1.0
18497.0,18498.0,1.0
18498.0,22092.0,1.0
10698.0,230.0,1.0
16844.0,10367.0,1.0
28503.0,230.0,1.0
16876.0,10367.0,1.0
