Source,Target,Weight
17024.0,2241.0,1.0
17024.0,10166.0,1.0
17024.0,17089.0,1.0
7297.0,1261.0,1.0
7297.0,2284.0,1.0
7297.0,3259.0,1.0
10242.0,1261.0,1.0
10242.0,3907.0,1.0
10242.0,17341.0,1.0
3210.0,14286.0,1.0
3210.0,9306.0,1.0
14223.0,2044.0,1.0
14223.0,17395.0,1.0
5776.0,3393.0,1.0
5776.0,5775.0,1.0
5776.0,8165.0,1.0
5776.0,9758.0,1.0
5775.0,3392.0,1.0
5775.0,8685.0,1.0
5775.0,14076.0,1.0
8987.0,2631.0,1.0
8987.0,8815.0,1.0
8987.0,14505.0,1.0
9758.0,83.0,1.0
9758.0,8685.0,1.0
9758.0,13224.0,1.0
9375.0,6434.0,1.0
9375.0,11168.0,1.0
9375.0,12787.0,1.0
6433.0,3030.0,1.0
6433.0,6434.0,1.0
6433.0,19441.0,1.0
6434.0,84.0,1.0
6434.0,19441.0,1.0
806.0,3956.0,1.0
806.0,11687.0,1.0
806.0,3393.0,1.0
11687.0,1261.0,1.0
11687.0,10958.0,1.0
11687.0,16870.0,1.0
13224.0,3029.0,1.0
13224.0,12775.0,1.0
14505.0,9032.0,1.0
14505.0,16505.0,1.0
12329.0,7914.0,1.0
12329.0,13672.0,1.0
12329.0,17089.0,1.0
16555.0,3392.0,1.0
16555.0,10199.0,1.0
16555.0,14076.0,1.0
2044.0,84.0,1.0
2044.0,1262.0,1.0
2044.0,8165.0,1.0
10165.0,10166.0,1.0
10166.0,2240.0,1.0
4920.0,374.0,1.0
4920.0,9032.0,1.0
3258.0,2631.0,1.0
3258.0,3259.0,1.0
3258.0,8815.0,1.0
3259.0,16870.0,1.0
17341.0,1262.0,1.0
17341.0,17395.0,1.0
3392.0,3393.0,1.0
3392.0,3956.0,1.0
3393.0,10958.0,1.0
17089.0,14286.0,1.0
17089.0,19309.0,1.0
3907.0,2284.0,1.0
3907.0,21196.0,1.0
2241.0,2240.0,1.0
2630.0,2631.0,1.0
2630.0,16505.0,1.0
2631.0,2283.0,1.0
9032.0,13672.0,1.0
10958.0,1262.0,1.0
10958.0,8165.0,1.0
14286.0,373.0,1.0
14286.0,7914.0,1.0
83.0,84.0,1.0
83.0,3030.0,1.0
83.0,8165.0,1.0
83.0,3029.0,1.0
3029.0,3030.0,1.0
10199.0,3956.0,1.0
10199.0,9306.0,1.0
9306.0,9307.0,1.0
9307.0,373.0,1.0
9307.0,7260.0,1.0
7260.0,374.0,1.0
7260.0,3956.0,1.0
7014.0,7013.0,1.0
7014.0,8685.0,1.0
7014.0,14076.0,1.0
7014.0,12775.0,1.0
12775.0,8685.0,1.0
13672.0,16505.0,1.0
16870.0,8815.0,1.0
7914.0,373.0,1.0
2283.0,2284.0,1.0
2283.0,17533.0,1.0
1262.0,1261.0,1.0
374.0,373.0,1.0
