Source,Target,Weight
28680.0,511.0,1.0
4105.0,9912.0,1.0
4105.0,6890.0,1.0
4105.0,23312.0,1.0
13.0,8994.0,1.0
13.0,12589.0,1.0
13.0,8823.0,1.0
34834.0,17767.0,1.0
2070.0,10380.0,1.0
2077.0,7830.0,1.0
2077.0,10380.0,1.0
2077.0,9777.0,1.0
2077.0,9858.0,1.0
12318.0,8823.0,1.0
4133.0,3738.0,1.0
4133.0,10951.0,1.0
4133.0,6935.0,1.0
4134.0,35297.0,1.0
4134.0,5488.0,1.0
4134.0,26163.0,1.0
4145.0,12124.0,1.0
4145.0,14475.0,1.0
4145.0,16203.0,1.0
4145.0,22890.0,1.0
12344.0,11026.0,1.0
12344.0,12431.0,1.0
12344.0,32451.0,1.0
26686.0,26575.0,1.0
10303.0,1176.0,1.0
10303.0,1520.0,1.0
10303.0,3217.0,1.0
8255.0,10569.0,1.0
8255.0,22734.0,1.0
20545.0,32989.0,1.0
20545.0,35415.0,1.0
20545.0,31171.0,1.0
10319.0,15467.0,1.0
10319.0,13936.0,1.0
10319.0,14932.0,1.0
10320.0,8756.0,1.0
28753.0,34469.0,1.0
28753.0,5337.0,1.0
28753.0,11638.0,1.0
8287.0,5350.0,1.0
4203.0,3554.0,1.0
4203.0,12799.0,1.0
4203.0,21126.0,1.0
10348.0,23682.0,1.0
30832.0,19558.0,1.0
20593.0,1550.0,1.0
2163.0,857.0,1.0
2163.0,2829.0,1.0
2163.0,14483.0,1.0
24692.0,3217.0,1.0
18551.0,1476.0,1.0
18551.0,3966.0,1.0
18551.0,26235.0,1.0
16507.0,1945.0,1.0
16507.0,11524.0,1.0
16507.0,26575.0,1.0
30849.0,35510.0,1.0
30849.0,15163.0,1.0
30849.0,23163.0,1.0
30852.0,31301.0,1.0
4230.0,15550.0,1.0
4230.0,21797.0,1.0
4230.0,18226.0,1.0
14475.0,9844.0,1.0
14475.0,10630.0,1.0
10380.0,2904.0,1.0
12431.0,2917.0,1.0
12431.0,29888.0,1.0
4240.0,36446.0,1.0
4240.0,7061.0,1.0
4240.0,8823.0,1.0
6289.0,11221.0,1.0
6289.0,7166.0,1.0
6289.0,10433.0,1.0
28815.0,6098.0,1.0
28815.0,27117.0,1.0
28815.0,28234.0,1.0
6290.0,661.0,1.0
6290.0,8148.0,1.0
6290.0,30408.0,1.0
6290.0,31388.0,1.0
2203.0,2204.0,1.0
2203.0,29273.0,1.0
2203.0,7471.0,1.0
2204.0,34249.0,1.0
2204.0,5488.0,1.0
28828.0,2917.0,1.0
28828.0,27938.0,1.0
28828.0,28949.0,1.0
28847.0,13178.0,1.0
16568.0,2360.0,1.0
10425.0,3738.0,1.0
10425.0,10426.0,1.0
10425.0,13247.0,1.0
10425.0,13319.0,1.0
10426.0,349.0,1.0
10426.0,24557.0,1.0
35010.0,1868.0,1.0
18627.0,16954.0,1.0
10434.0,2550.0,1.0
26821.0,27798.0,1.0
32967.0,16332.0,1.0
14541.0,1176.0,1.0
14541.0,25089.0,1.0
14541.0,16349.0,1.0
22734.0,35859.0,1.0
22734.0,17532.0,1.0
12497.0,1351.0,1.0
12497.0,9959.0,1.0
12497.0,27798.0,1.0
12500.0,7323.0,1.0
4330.0,305.0,1.0
4330.0,5178.0,1.0
4330.0,7061.0,1.0
16619.0,12019.0,1.0
4332.0,10768.0,1.0
4337.0,1176.0,1.0
18683.0,12014.0,1.0
18683.0,13537.0,1.0
18683.0,15612.0,1.0
35070.0,10144.0,1.0
16640.0,6719.0,1.0
16640.0,10501.0,1.0
16640.0,23686.0,1.0
4354.0,3110.0,1.0
4354.0,6038.0,1.0
4354.0,24457.0,1.0
4362.0,5588.0,1.0
33036.0,9316.0,1.0
22798.0,18118.0,1.0
28949.0,18966.0,1.0
28949.0,32011.0,1.0
6426.0,2423.0,1.0
6426.0,4758.0,1.0
6426.0,5436.0,1.0
6426.0,8091.0,1.0
12572.0,18912.0,1.0
14621.0,4751.0,1.0
10526.0,13643.0,1.0
10526.0,19519.0,1.0
10526.0,21092.0,1.0
24865.0,24566.0,1.0
