Source,Target,Weight
17412.0,30283.0,1.0
16900.0,17789.0,1.0
14863.0,12967.0,1.0
14863.0,18700.0,1.0
14863.0,30283.0,1.0
10265.0,8048.0,1.0
10265.0,11584.0,1.0
10265.0,14416.0,1.0
21018.0,2306.0,1.0
21018.0,14416.0,1.0
21018.0,29751.0,1.0
15900.0,10821.0,1.0
25630.0,20343.0,1.0
23592.0,2306.0,1.0
33326.0,15054.0,1.0
34351.0,7994.0,1.0
21556.0,16162.0,1.0
10821.0,6815.0,1.0
10821.0,20343.0,1.0
30283.0,15793.0,1.0
17997.0,12967.0,1.0
14416.0,18360.0,1.0
2640.0,5009.0,1.0
16979.0,11584.0,1.0
16979.0,21354.0,1.0
16979.0,22961.0,1.0
9300.0,30585.0,1.0
9300.0,9567.0,1.0
9300.0,29413.0,1.0
34402.0,2723.0,1.0
4197.0,910.0,1.0
21621.0,10358.0,1.0
10358.0,3573.0,1.0
10358.0,13518.0,1.0
30341.0,8048.0,1.0
24202.0,8048.0,1.0
10900.0,6815.0,1.0
7325.0,7994.0,1.0
6815.0,5009.0,1.0
2723.0,9381.0,1.0
2723.0,22497.0,1.0
19620.0,9567.0,1.0
9381.0,5000.0,1.0
9381.0,27415.0,1.0
12967.0,11486.0,1.0
12967.0,17789.0,1.0
6831.0,981.0,1.0
15054.0,12169.0,1.0
15054.0,15055.0,1.0
15054.0,18360.0,1.0
13518.0,18271.0,1.0
13518.0,25448.0,1.0
11486.0,981.0,1.0
11486.0,9567.0,1.0
11486.0,9703.0,1.0
24293.0,15793.0,1.0
2306.0,15274.0,1.0
2306.0,26410.0,1.0
13578.0,5000.0,1.0
18700.0,3573.0,1.0
18700.0,20343.0,1.0
16162.0,33742.0,1.0
16162.0,7994.0,1.0
16162.0,12169.0,1.0
12071.0,11584.0,1.0
23390.0,8048.0,1.0
32636.0,15793.0,1.0
2940.0,5000.0,1.0
17789.0,13699.0,1.0
17789.0,28035.0,1.0
5000.0,5009.0,1.0
12169.0,31203.0,1.0
12169.0,30170.0,1.0
910.0,981.0,1.0
5009.0,14262.0,1.0
18360.0,3573.0,1.0
25018.0,9703.0,1.0
