Nodes Removed,Fraction of Nodes Removed,Core Proportion
0,0.0,1.0
1,4.71764872387602e-05,0.9999528235127613
2,9.43529744775204e-05,0.9999056470255224
3,0.0001415294617162806,0.9998584705382837
4,0.0001887059489550408,0.999811294051045
5,0.000235882436193801,0.9997641175638062
6,0.0002830589234325612,0.9997169410765674
7,0.0003302354106713214,0.9996697645893287
8,0.0003774118979100816,0.9996225881020899
9,0.0004245883851488418,0.9995754116148512
10,0.000471764872387602,0.9995282351276124
11,0.0005189413596263622,0.9994810586403736
12,0.0005661178468651224,0.9994338821531349
13,0.0006132943341038826,0.9993867056658962
14,0.0006604708213426428,0.9993395291786573
15,0.000707647308581403,0.9992923526914186
16,0.0007548237958201632,0.9992451762041799
17,0.0008020002830589234,0.9991979997169411
18,0.0008491767702976836,0.9991508232297023
19,0.0008963532575364438,0.9991036467424635
20,0.000943529744775204,0.9990564702552248
21,0.0009907062320139643,0.9990092937679861
22,0.0010378827192527244,0.9989621172807472
23,0.0010850592064914847,0.9989149407935085
24,0.0011322356937302448,0.9988677643062698
25,0.001179412180969005,0.998820587819031
26,0.0012265886682077652,0.9987734113317922
27,0.0012737651554465255,0.9987262348445535
28,0.0013209416426852856,0.9986790583573147
29,0.001368118129924046,0.9986318818700759
30,0.001415294617162806,0.9985847053828372
31,0.0014624711044015663,0.9985375288955984
32,0.0015096475916403264,0.9984903524083597
33,0.0015568240788790867,0.9984431759211209
34,0.0016040005661178468,0.9983959994338821
35,0.001651177053356607,0.9983488229466434
36,0.0016983535405953672,0.9983016464594047
37,0.0017455300278341275,0.9982544699721658
38,0.0017927065150728876,0.9982072934849271
39,0.0018398830023116479,0.9981601169976884
40,0.001887059489550408,0.9981129405104496
41,0.0019342359767891683,0.9980657640232108
42,0.0019814124640279286,0.9980185875359721
43,0.0020285889512666887,0.9979714110487333
44,0.0020757654385054488,0.9979242345614946
45,0.002122941925744209,0.9978770580742558
46,0.0021701184129829694,0.997829881587017
47,0.0022172949002217295,0.9977827050997783
48,0.0022644713874604896,0.9977355286125396
49,0.00231164787469925,0.9976883521253007
50,0.00235882436193801,0.9975939991508233
51,0.0024060008491767703,0.9974996461763457
52,0.0024531773364155304,0.997452469689107
53,0.002500353823654291,0.9974052932018682
54,0.002547530310893051,0.9973581167146295
55,0.002594706798131811,0.9973109402273906
56,0.002641883285370571,0.9972637637401519
57,0.0026890597726093317,0.9972165872529132
58,0.002736236259848092,0.9971694107656743
59,0.002783412747086852,0.9971222342784356
60,0.002830589234325612,0.9970750577911969
61,0.0028777657215643725,0.9970278813039581
62,0.0029249422088031326,0.9969807048167193
63,0.0029721186960418927,0.9969335283294806
64,0.0030192951832806528,0.9968863518422418
65,0.0030664716705194133,0.9968391753550031
66,0.0031136481577581734,0.9967919988677643
67,0.0031608246449969335,0.9967448223805255
68,0.0032080011322356936,0.9966976458932868
69,0.003255177619474454,0.9966504694060481
70,0.003302354106713214,0.9966032929188092
71,0.0033495305939519743,0.9965561164315705
72,0.0033967070811907344,0.9965089399443318
73,0.003443883568429495,0.996461763457093
74,0.003491060055668255,0.9964145869698542
75,0.003538236542907015,0.9963674104826155
76,0.003585413030145775,0.9963202339953767
77,0.0036325895173845357,0.996273057508138
78,0.0036797660046232958,0.9961787045336604
79,0.003726942491862056,0.9961315280464217
80,0.003774118979100816,0.996084351559183
81,0.0038212954663395765,0.9960371750719441
82,0.0038684719535783366,0.9959899985847054
83,0.003915648440817097,0.9959428220974667
84,0.003962824928055857,0.9958956456102278
85,0.004010001415294617,0.9958484691229891
86,0.004057177902533377,0.9958012926357503
87,0.0041043543897721375,0.9957541161485116
88,0.0041515308770108976,0.9957069396612728
89,0.004198707364249658,0.995659763174034
90,0.004245883851488418,0.9956125866867953
91,0.004293060338727179,0.9955654101995566
92,0.004340236825965939,0.9955182337123177
93,0.004387413313204699,0.995471057225079
94,0.004434589800443459,0.9954238807378403
95,0.004481766287682219,0.9953767042506015
96,0.004528942774920979,0.9953295277633627
97,0.004576119262159739,0.995282351276124
98,0.0046232957493985,0.9952351747888852
99,0.00467047223663726,0.9951408218144077
100,0.00471764872387602,0.9950936453271689
101,0.0047648252111147805,0.9950464688399302
102,0.004812001698353541,0.9949992923526915
103,0.004859178185592301,0.9949521158654526
104,0.004906354672831061,0.9949049393782139
105,0.004953531160069821,0.9948577628909752
106,0.005000707647308582,0.9948105864037364
107,0.005047884134547342,0.9947634099164976
108,0.005095060621786102,0.9947162334292589
109,0.005142237109024862,0.9946690569420201
110,0.005189413596263622,0.9946218804547813
111,0.005236590083502382,0.9945747039675426
112,0.005283766570741142,0.9945275274803038
113,0.0053309430579799024,0.9944803509930651
114,0.005378119545218663,0.9944331745058262
115,0.0054252960324574235,0.9943859980185875
116,0.005472472519696184,0.9943388215313488
117,0.005519649006934944,0.99429164504411
118,0.005566825494173704,0.9942444685568712
119,0.005614001981412464,0.9941972920696325
120,0.005661178468651224,0.994102939095155
121,0.005708354955889984,0.9940557626079162
122,0.005755531443128745,0.9939142331462
123,0.005802707930367505,0.9938670566589611
124,0.005849884417606265,0.9938198801717224
125,0.005897060904845025,0.9937727036844837
126,0.005944237392083785,0.9937255271972449
127,0.0059914138793225455,0.9936783507100061
128,0.0060385903665613055,0.9936311742227674
129,0.006085766853800066,0.9935839977355286
130,0.006132943341038827,0.9935368212482899
131,0.006180119828277587,0.9934896447610511
132,0.006227296315516347,0.9934424682738123
133,0.006274472802755107,0.9933952917865736
134,0.006321649289993867,0.9932537623248573
135,0.006368825777232627,0.9932065858376186
136,0.006416002264471387,0.9931594093503797
137,0.006463178751710147,0.993112232863141
138,0.006510355238948908,0.9930650563759023
139,0.006557531726187668,0.9930178798886635
140,0.006604708213426428,0.9929707034014247
141,0.0066518847006651885,0.992923526914186
142,0.0066990611879039486,0.9928763504269472
143,0.006746237675142709,0.9928291739397085
144,0.006793414162381469,0.9927819974524696
145,0.00684059064962023,0.9927348209652309
146,0.00688776713685899,0.9926876444779922
147,0.00693494362409775,0.9920743501438883
148,0.00698212011133651,0.9920271736566495
149,0.00702929659857527,0.9919799971694108
150,0.00707647308581403,0.991932820682172
