Nodes Removed,Fraction of Nodes Removed,Mean Core Proportion,Std Dev Core Proportion
0,0.0,1.0,0.0
0,6.214654154496302e-05,0.9997315269405259,0.0004964633562801899
1,0.00012429308308992604,0.999387235100367,0.0010057000297175437
3,0.00018643962463488905,0.9990093841277736,0.0013097689936485458
3,0.0002485861661798521,0.9987471257224538,0.0013934889953715072
5,0.0003107327077248151,0.9983406873407498,0.0015719144303478734
6,0.0003728792492697781,0.9981989932260272,0.0015701070053657624
7,0.0004350257908147412,0.990456777080356,0.05212873414503847
7,0.0004971723323597041,0.9902106767758379,0.052104363488954954
9,0.0005593188739046672,0.9898924864831277,0.05206853662680263
10,0.0006214654154496302,0.9813187496115846,0.07672316432294034
11,0.0006836119569945933,0.9809371698464986,0.07678723847140505
12,0.0007457584985395562,0.9803989807967192,0.0766881594290149
13,0.0008079050400845193,0.9802187558262387,0.07673141172705294
14,0.0008700515816294824,0.9798458765769689,0.07698556066539189
15,0.0009321981231744453,0.9796644086756576,0.0769541693589801
15,0.0009943446647194083,0.9792679137406004,0.07688958687075201
17,0.0010564912062643714,0.9785445279970172,0.07677456023568999
18,0.0011186377478093344,0.9781691628860852,0.07670257583549236
19,0.0011807842893542975,0.9772319930395872,0.07661103485124413
20,0.0012429308308992604,0.9769548194642966,0.07677296767371906
21,0.0013050773724442234,0.9767161767447641,0.07672356060318422
22,0.0013672239139891865,0.9765160648809892,0.07669638581164827
23,0.0014293704555341496,0.9761755018333228,0.07663117824888865
24,0.0014915169970791124,0.9759878192778573,0.0766036541625858
25,0.0015536635386240755,0.9757703063824497,0.07671204722439612
26,0.0016158100801690386,0.974828164812628,0.07675347163390359
27,0.0016779566217140017,0.9745472624448448,0.076690810616186
28,0.0017401031632589647,0.9668112609533277,0.0914476304765008
29,0.0018022497048039276,0.9584798955938101,0.10584010582811798
30,0.0018643962463488907,0.9581318749611583,0.1058132327635384
31,0.0019265427878938537,0.9577689391585357,0.10574662757566716
31,0.0019886893294388166,0.9575626126406065,0.10574989692523136
33,0.00205083587098378,0.9572854390653162,0.10570741879117393
34,0.0021129824125287427,0.9569436330868188,0.10563920427091696
35,0.0021751289540737056,0.9565695109067182,0.1056118358903876
36,0.002237275495618669,0.9562848797464422,0.10553759432784306
37,0.0022994220371636317,0.9559144863588342,0.10641910109693098
38,0.002361568578708595,0.9549524578957184,0.10651317494148764
39,0.002423715120253558,0.9546864706979059,0.1064676027581696
40,0.0024858616617985207,0.9543508793735631,0.10640357217800994
41,0.002548008203343484,0.9537443291280843,0.10632983206925188
42,0.002610154744888447,0.9534758560686101,0.1062759456934135
43,0.00267230128643341,0.9525200422596484,0.10610316585001456
44,0.002734447827978373,0.9522565409234975,0.10602779294081473
45,0.002796594369523336,0.9519557516624201,0.10597151279811569
46,0.002858740911068299,0.95173450997452,0.10592678895626076
47,0.002920887452613262,0.9510857000807905,0.10583284360585851
48,0.002983033994158225,0.9507811820272201,0.10577906114580908
49,0.003045180535703188,0.9506258156733577,0.10573794570487494
50,0.003107327077248151,0.9502516934932569,0.1056984090666673
51,0.0031694736187931143,0.9499770057796282,0.10562834982461888
52,0.003231620160338077,0.9492138462494559,0.10645302325242552
53,0.00329376670188304,0.9483176931203778,0.10627267784481352
54,0.0033559132434280033,0.9480268473059474,0.1061862537042369
55,0.003418059784972966,0.9475893356534709,0.10605413533899578
56,0.0034802063265179295,0.9473718227580636,0.10600413423415328
57,0.0035423528680628923,0.9472251569200175,0.10598130611690039
58,0.003604499409607855,0.9469653843763594,0.1059493749383116
59,0.0036666459511528185,0.9466484370144801,0.10587596803525312
60,0.0037287924926977813,0.9458877633459699,0.10581017020828244
61,0.0037909390342427446,0.9454079920452425,0.10570178302684784
62,0.0038530855757877075,0.9449269778136844,0.10560001248753305
63,0.003915232117332671,0.944586414766018,0.1055156432243842
63,0.003977378658877633,0.9438244981666767,0.10539038520686057
65,0.0040395252004225965,0.9421850724007207,0.10660392772753625
66,0.00410167174196756,0.9408253060717172,0.10647430099613697
67,0.004163818283512522,0.9405021440556834,0.10641115932221573
68,0.0042259648250574855,0.9389609098253683,0.10614491152824694
69,0.004288111366602449,0.9387508545149462,0.1061535430149087
70,0.004350257908147411,0.9381815921943946,0.10596712189015783
71,0.0044124044496923745,0.9376434031446148,0.10584960224109168
72,0.004474550991237338,0.937445777142502,0.10589023957861565
73,0.004536697532782301,0.937246908209558,0.10587764991251988
74,0.0045988440743272635,0.9289801752532467,0.11505762115517416
75,0.004660990615872227,0.928388540177739,0.11507368740921094
76,0.00472313715741719,0.9282083152072588,0.11503188123483736
77,0.0047852836989621525,0.9280069604126531,0.11504464651127524
78,0.004847430240507116,0.9276825554657883,0.11496476180225576
79,0.004909576782052079,0.9263277608601079,0.11480081261001807
80,0.0049717233235970415,0.9261177055496859,0.11476360272498798
81,0.005033869865142005,0.9256329625256352,0.11464854403106524
82,0.005096016406686968,0.9253620036044993,0.11461176395817171
83,0.0051581629482319305,0.9250040395252003,0.11451106133216234
84,0.005220309489776894,0.9245230252936425,0.11434420541530899
85,0.005282456031321857,0.9230576098440123,0.11392658761712163
86,0.00534460257286682,0.9228276676402959,0.1139045821997934
87,0.005406749114411783,0.9223416816854139,0.11376836696308647
88,0.005468895655956746,0.9219116276179229,0.11362624730011656
89,0.005531042197501709,0.9212230439376049,0.11340923263606147
90,0.005593188739046672,0.9210465477596173,0.11339636862360701
91,0.005655335280591635,0.9128258032440496,0.12366701127453798
92,0.005717481822136598,0.9126331489652604,0.12360401729583849
93,0.005779628363681561,0.9119793673482073,0.12340479150238651
94,0.005841774905226524,0.9115940587906286,0.12332993944001588
95,0.005903921446771487,0.9104841215586356,0.12302715275050272
96,0.00596606798831645,0.9101982474675286,0.12314470108748723
97,0.006028214529861413,0.9099894350879373,0.12310611019218098
98,0.006090361071406376,0.9096264992853146,0.12305282578675485
99,0.00615250761295134,0.9094089863899073,0.12306330041511715
100,0.006214654154496302,0.9084146417251879,0.12272058361324728
101,0.006276800696041265,0.9081934000372879,0.12270343713117349
102,0.006338947237586229,0.9077944192405693,0.12306221276745027
103,0.006401093779131191,0.9072910322540548,0.12289174189057694
104,0.006463240320676154,0.9070598471195076,0.12304562630682274
105,0.006525386862221118,0.9066695668386053,0.12292343002648443
106,0.00658753340376608,0.9062631284569015,0.12285870273513211
107,0.006649679945311043,0.9060642595239576,0.12278376953111358
108,0.006711826486856007,0.8978335715617426,0.13060143654977058
109,0.00677397302840097,0.8974209185258841,0.13052379373929077
110,0.006836119569945932,0.897079112547387,0.1304121032157792
111,0.006898266111490896,0.896620471070785,0.13037222130443188
112,0.006960412653035859,0.8960984401218074,0.13025235726411974
113,0.007022559194580821,0.8878975824995341,0.1400111594546267
114,0.007084705736125785,0.8873792803430491,0.13995382263033138
115,0.007146852277670748,0.8867752159592321,0.14085033131759192
116,0.00720899881921571,0.886331489652601,0.14079854397432642
117,0.007271145360760674,0.8858169162886085,0.1406135237742615
118,0.007333291902305637,0.885368218258654,0.1404877439639083
119,0.007395438443850599,0.8848710459262944,0.14026938891300716
120,0.007457584985395563,0.884258281026661,0.14002577683031714
121,0.007519731526940526,0.8836368156112111,0.14043295562308802
122,0.007581878068485489,0.8834367037474364,0.14053393974392883
123,0.007644024610030452,0.8832316201603381,0.1404863504937887
124,0.007706171151575415,0.8828537691877446,0.14061960013893288
125,0.007768317693120378,0.8819091417562613,0.1404085316885425
126,0.007830464234665341,0.8816729848983905,0.14059838965273314
127,0.007892610776210304,0.8813299359890621,0.1404801286801393
127,0.007954757317755266,0.8808737803741221,0.14032908271479036
129,0.00801690385930023,0.8805966067988317,0.14029020218046495
130,0.008079050400845193,0.8804151388975201,0.14030465586575153
