Nodes Removed,Fraction of Nodes Removed,Core Proportion
0,0.0,1.0
1,6.214654154496302e-05,0.5908893170095084
2,0.00012429308308992604,0.5907650239264185
3,0.00018643962463488905,0.5907028773848735
4,0.0002485861661798521,0.532720154123423
5,0.0003107327077248151,0.532720154123423
6,0.0003728792492697781,0.532720154123423
7,0.0004350257908147412,0.5240196383071282
8,0.0004971723323597041,0.5233981728916786
9,0.0005593188739046672,0.5233360263501337
10,0.0006214654154496302,0.5232738798085886
11,0.0006836119569945933,0.29973276987135666
12,0.0007457584985395562,0.2610776210303897
13,0.0008079050400845193,0.2610154744888447
14,0.0008700515816294824,0.22347896339568704
15,0.0009321981231744453,0.17923062581567337
16,0.0009943446647194083,0.17885774656640357
17,0.0010564912062643714,0.1648747747187869
18,0.0011186377478093344,0.1648747747187869
19,0.0011807842893542975,0.1648747747187869
20,0.0012429308308992604,0.1648747747187869
21,0.0013050773724442234,0.16481262817724193
22,0.0013672239139891865,0.16475048163569697
23,0.0014293704555341496,0.16475048163569697
24,0.0014915169970791124,0.16475048163569697
25,0.0015536635386240755,0.16475048163569697
26,0.0016158100801690386,0.16462618855260705
27,0.0016779566217140017,0.13342862469703562
28,0.0017401031632589647,0.131067056118327
29,0.0018022497048039276,0.13100490957678204
30,0.0018643962463488907,0.11540612764899634
31,0.0019265427878938537,0.11540612764899634
32,0.0019886893294388166,0.11540612764899634
33,0.00205083587098378,0.11534398110745137
34,0.0021129824125287427,0.11521968802436144
35,0.0021751289540737056,0.11515754148281648
36,0.002237275495618669,0.11509539494127152
37,0.0022994220371636317,0.08551364116586913
38,0.002361568578708595,0.08551364116586913
39,0.002423715120253558,0.08551364116586913
40,0.0024858616617985207,0.08551364116586913
41,0.002548008203343484,0.08551364116586913
42,0.002610154744888447,0.08551364116586913
43,0.00267230128643341,0.08551364116586913
44,0.002734447827978373,0.08246846063016593
45,0.002796594369523336,0.08240631408862097
46,0.002858740911068299,0.082344167547076
47,0.002920887452613262,0.07407867752159593
48,0.002983033994158225,0.07407867752159593
49,0.003045180535703188,0.06581318749611584
50,0.003107327077248151,0.06581318749611584
51,0.0031694736187931143,0.06581318749611584
52,0.003231620160338077,0.06164936921260332
53,0.00329376670188304,0.06164936921260332
54,0.0033559132434280033,0.060779317630973835
55,0.003418059784972966,0.058666335218445095
56,0.0034802063265179295,0.05854204213535517
57,0.0035423528680628923,0.05841774905226524
58,0.003604499409607855,0.05468895655956746
59,0.0036666459511528185,0.0546268100180225
60,0.0037287924926977813,0.0546268100180225
61,0.0037909390342427446,0.0546268100180225
62,0.0038530855757877075,0.0546268100180225
63,0.003915232117332671,0.04859859548816108
64,0.003977378658877633,0.04859859548816108
65,0.0040395252004225965,0.04859859548816108
66,0.00410167174196756,0.04859859548816108
67,0.004163818283512522,0.04847430240507116
68,0.0042259648250574855,0.04841215586352619
69,0.004288111366602449,0.03958734696414144
70,0.004350257908147411,0.03958734696414144
71,0.0044124044496923745,0.03958734696414144
72,0.004474550991237338,0.03958734696414144
73,0.004536697532782301,0.0381579765086073
74,0.0045988440743272635,0.0381579765086073
75,0.004660990615872227,0.03573426138835374
76,0.00472313715741719,0.03573426138835374
77,0.0047852836989621525,0.03573426138835374
78,0.004847430240507116,0.03511279597290411
79,0.004909576782052079,0.033496985892735066
80,0.0049717233235970415,0.033496985892735066
81,0.005033869865142005,0.033496985892735066
82,0.005096016406686968,0.033496985892735066
83,0.0051581629482319305,0.033496985892735066
84,0.005220309489776894,0.033496985892735066
85,0.005282456031321857,0.03231620160338077
86,0.00534460257286682,0.029581753775402397
87,0.005406749114411783,0.029581753775402397
88,0.005468895655956746,0.029581753775402397
89,0.005531042197501709,0.029581753775402397
90,0.005593188739046672,0.029519607233857437
91,0.005655335280591635,0.02734447827978373
92,0.005717481822136598,0.022932073830091354
93,0.005779628363681561,0.022932073830091354
94,0.005841774905226524,0.022932073830091354
95,0.005903921446771487,0.022932073830091354
96,0.00596606798831645,0.022932073830091354
97,0.006028214529861413,0.022932073830091354
98,0.006090361071406376,0.02280778074700143
99,0.00615250761295134,0.022559194580821576
100,0.006214654154496302,0.022559194580821576
101,0.006276800696041265,0.022559194580821576
102,0.006338947237586229,0.022559194580821576
103,0.006401093779131191,0.022559194580821576
104,0.006463240320676154,0.022559194580821576
105,0.006525386862221118,0.022559194580821576
106,0.00658753340376608,0.022559194580821576
107,0.006649679945311043,0.01976260021129824
108,0.006711826486856007,0.01976260021129824
109,0.00677397302840097,0.01976260021129824
110,0.006836119569945932,0.01976260021129824
111,0.006898266111490896,0.01976260021129824
112,0.006960412653035859,0.01976260021129824
113,0.007022559194580821,0.01976260021129824
114,0.007084705736125785,0.01976260021129824
115,0.007146852277670748,0.018768255546578832
116,0.00720899881921571,0.018768255546578832
117,0.007271145360760674,0.018768255546578832
118,0.007333291902305637,0.018768255546578832
119,0.007395438443850599,0.018768255546578832
120,0.007457584985395563,0.01746317817413461
121,0.007519731526940526,0.016903859300229942
122,0.007581878068485489,0.016903859300229942
123,0.007644024610030452,0.016903859300229942
124,0.007706171151575415,0.016903859300229942
125,0.007768317693120378,0.016903859300229942
126,0.007830464234665341,0.016903859300229942
127,0.007892610776210304,0.016903859300229942
128,0.007954757317755266,0.016903859300229942
129,0.00801690385930023,0.016903859300229942
130,0.008079050400845193,0.016903859300229942
131,0.008141196942390155,0.016903859300229942
132,0.00820334348393512,0.016903859300229942
133,0.008265490025480082,0.016903859300229942
134,0.008327636567025044,0.016903859300229942
135,0.008389783108570009,0.016903859300229942
136,0.008451929650114971,0.016903859300229942
137,0.008514076191659933,0.016903859300229942
138,0.008576222733204898,0.016903859300229942
139,0.00863836927474986,0.016903859300229942
140,0.008700515816294822,0.016903859300229942
141,0.008762662357839787,0.016903859300229942
142,0.008824808899384749,0.016903859300229942
143,0.008886955440929713,0.016903859300229942
144,0.008949101982474676,0.016903859300229942
145,0.009011248524019638,0.016717419675595053
146,0.009073395065564602,0.016717419675595053
147,0.009135541607109565,0.016593126592505128
148,0.009197688148654527,0.016593126592505128
149,0.009259834690199491,0.01317506680753216
150,0.009321981231744454,0.01317506680753216
151,0.009384127773289416,0.01317506680753216
152,0.00944627431483438,0.01317506680753216
153,0.009508420856379343,0.012864334099807346
154,0.009570567397924305,0.012864334099807346
155,0.009632713939469269,0.012864334099807346
156,0.009694860481014232,0.01131067056118327
157,0.009757007022559194,0.011124230936548381
158,0.009819153564104158,0.010937791311913492
159,0.00988130010564912,0.010937791311913492
160,0.009943446647194083,0.010937791311913492
161,0.010005593188739047,0.010937791311913492
162,0.01006773973028401,0.010937791311913492
163,0.010129886271828972,0.010937791311913492
164,0.010192032813373936,0.010937791311913492
165,0.010254179354918899,0.010937791311913492
166,0.010316325896463861,0.010937791311913492
167,0.010378472438008825,0.010751351687278603
168,0.010440618979553788,0.010192032813373936
169,0.010502765521098752,0.010192032813373936
170,0.010564912062643714,0.010192032813373936
171,0.010627058604188677,0.010192032813373936
172,0.01068920514573364,0.010192032813373936
173,0.010751351687278603,0.010192032813373936
174,0.010813498228823566,0.010192032813373936
175,0.01087564477036853,0.010192032813373936
176,0.010937791311913492,0.010192032813373936
177,0.010999937853458455,0.009632713939469269
178,0.011062084395003419,0.009632713939469269
179,0.011124230936548381,0.009632713939469269
180,0.011186377478093344,0.009632713939469269
181,0.011248524019638308,0.009632713939469269
182,0.01131067056118327,0.009632713939469269
183,0.011372817102728233,0.009632713939469269
184,0.011434963644273197,0.009632713939469269
185,0.011497110185818159,0.009632713939469269
186,0.011559256727363122,0.009632713939469269
187,0.011621403268908086,0.009632713939469269
188,0.011683549810453048,0.009384127773289416
189,0.01174569635199801,0.009384127773289416
190,0.011807842893542975,0.009384127773289416
191,0.011869989435087937,0.009384127773289416
192,0.0119321359766329,0.009384127773289416
193,0.011994282518177864,0.009384127773289416
194,0.012056429059722826,0.009384127773289416
195,0.01211857560126779,0.009384127773289416
196,0.012180722142812753,0.009384127773289416
197,0.012242868684357715,0.009384127773289416
198,0.01230501522590268,0.009384127773289416
199,0.012367161767447642,0.009384127773289416
200,0.012429308308992604,0.009384127773289416
201,0.012491454850537568,0.009384127773289416
202,0.01255360139208253,0.009384127773289416
203,0.012615747933627493,0.009384127773289416
204,0.012677894475172457,0.009384127773289416
205,0.01274004101671742,0.009384127773289416
206,0.012802187558262382,0.009384127773289416
207,0.012864334099807346,0.009384127773289416
208,0.012926480641352309,0.009384127773289416
209,0.012988627182897271,0.009384127773289416
210,0.013050773724442235,0.009384127773289416
211,0.013112920265987198,0.009384127773289416
212,0.01317506680753216,0.009384127773289416
213,0.013237213349077124,0.009384127773289416
214,0.013299359890622087,0.008389783108570009
215,0.013361506432167049,0.007581878068485489
216,0.013423652973712013,0.007581878068485489
217,0.013485799515256976,0.007581878068485489
218,0.01354794605680194,0.007581878068485489
219,0.013610092598346902,0.007581878068485489
220,0.013672239139891865,0.007581878068485489
221,0.013734385681436829,0.007581878068485489
222,0.013796532222981791,0.007581878068485489
223,0.013858678764526754,0.007581878068485489
224,0.013920825306071718,0.007581878068485489
225,0.01398297184761668,0.007581878068485489
226,0.014045118389161643,0.007581878068485489
227,0.014107264930706607,0.007581878068485489
228,0.01416941147225157,0.007581878068485489
229,0.014231558013796532,0.007581878068485489
230,0.014293704555341496,0.007581878068485489
231,0.014355851096886458,0.007581878068485489
232,0.01441799763843142,0.007581878068485489
233,0.014480144179976385,0.007581878068485489
234,0.014542290721521347,0.007581878068485489
235,0.01460443726306631,0.007581878068485489
236,0.014666583804611274,0.006898266111490896
237,0.014728730346156236,0.006898266111490896
238,0.014790876887701199,0.006898266111490896
239,0.014853023429246163,0.006898266111490896
240,0.014915169970791125,0.006898266111490896
241,0.014977316512336088,0.006898266111490896
242,0.015039463053881052,0.006898266111490896
243,0.015101609595426014,0.006836119569945932
244,0.015163756136970978,0.006836119569945932
245,0.01522590267851594,0.00658753340376608
246,0.015288049220060903,0.00658753340376608
247,0.015350195761605867,0.00658753340376608
248,0.01541234230315083,0.00658753340376608
249,0.015474488844695792,0.00658753340376608
250,0.015536635386240756,0.00658753340376608
251,0.015598781927785719,0.00658753340376608
252,0.015660928469330683,0.00658753340376608
253,0.015723075010875644,0.00658753340376608
254,0.015785221552420608,0.00658753340376608
255,0.015847368093965572,0.00658753340376608
256,0.015909514635510533,0.00658753340376608
257,0.015971661177055497,0.00658753340376608
258,0.01603380771860046,0.00658753340376608
259,0.01609595426014542,0.00658753340376608
260,0.016158100801690386,0.00658753340376608
261,0.01622024734323535,0.00658753340376608
262,0.01628239388478031,0.00658753340376608
263,0.016344540426325275,0.00658753340376608
264,0.01640668696787024,0.006276800696041265
265,0.0164688335094152,0.006276800696041265
266,0.016530980050960164,0.006276800696041265
267,0.016593126592505128,0.006276800696041265
268,0.01665527313405009,0.00596606798831645
269,0.016717419675595053,0.00596606798831645
270,0.016779566217140017,0.00596606798831645
271,0.016841712758684978,0.00596606798831645
272,0.016903859300229942,0.00596606798831645
273,0.016966005841774906,0.00596606798831645
274,0.017028152383319867,0.00596606798831645
275,0.01709029892486483,0.00596606798831645
276,0.017152445466409795,0.00596606798831645
277,0.017214592007954756,0.00596606798831645
278,0.01727673854949972,0.00596606798831645
279,0.017338885091044684,0.00596606798831645
280,0.017401031632589645,0.00596606798831645
281,0.01746317817413461,0.00596606798831645
282,0.017525324715679573,0.00596606798831645
283,0.017587471257224537,0.00596606798831645
284,0.017649617798769498,0.00596606798831645
285,0.017711764340314462,0.00596606798831645
286,0.017773910881859426,0.00596606798831645
287,0.017836057423404387,0.00596606798831645
