Source,Target,Attributes
86.0,18114.0,{'Weight': 1.0}
87.0,10143.0,{'Weight': 1.0}
87.0,3852.0,{'Weight': 1.0}
87.0,2700.0,{'Weight': 1.0}
32855.0,31657.0,{'Weight': 1.0}
88.0,3494.0,{'Weight': 1.0}
90.0,3181.0,{'Weight': 1.0}
90.0,9712.0,{'Weight': 1.0}
90.0,29140.0,{'Weight': 1.0}
91.0,3075.0,{'Weight': 1.0}
91.0,10266.0,{'Weight': 1.0}
91.0,12543.0,{'Weight': 1.0}
92.0,3090.0,{'Weight': 1.0}
32861.0,12333.0,{'Weight': 1.0}
32856.0,11401.0,{'Weight': 1.0}
95.0,8930.0,{'Weight': 1.0}
95.0,2448.0,{'Weight': 1.0}
95.0,12561.0,{'Weight': 1.0}
32863.0,13415.0,{'Weight': 1.0}
32863.0,15783.0,{'Weight': 1.0}
32863.0,23815.0,{'Weight': 1.0}
32863.0,24663.0,{'Weight': 1.0}
32863.0,34862.0,{'Weight': 1.0}
32863.0,35988.0,{'Weight': 1.0}
96.0,10353.0,{'Weight': 1.0}
96.0,6857.0,{'Weight': 1.0}
96.0,3635.0,{'Weight': 1.0}
96.0,30149.0,{'Weight': 1.0}
98.0,99.0,{'Weight': 1.0}
98.0,3376.0,{'Weight': 1.0}
98.0,5535.0,{'Weight': 1.0}
99.0,13125.0,{'Weight': 1.0}
99.0,34962.0,{'Weight': 1.0}
99.0,24863.0,{'Weight': 1.0}
101.0,10435.0,{'Weight': 1.0}
101.0,8573.0,{'Weight': 1.0}
101.0,3140.0,{'Weight': 1.0}
32870.0,18248.0,{'Weight': 1.0}
103.0,1441.0,{'Weight': 1.0}
104.0,11136.0,{'Weight': 1.0}
32869.0,9385.0,{'Weight': 1.0}
105.0,5467.0,{'Weight': 1.0}
105.0,6705.0,{'Weight': 1.0}
105.0,23468.0,{'Weight': 1.0}
107.0,2121.0,{'Weight': 1.0}
108.0,13159.0,{'Weight': 1.0}
108.0,2062.0,{'Weight': 1.0}
108.0,13962.0,{'Weight': 1.0}
108.0,14433.0,{'Weight': 1.0}
106.0,14464.0,{'Weight': 1.0}
32879.0,13694.0,{'Weight': 1.0}
32880.0,2499.0,{'Weight': 1.0}
112.0,10085.0,{'Weight': 1.0}
112.0,3774.0,{'Weight': 1.0}
112.0,35086.0,{'Weight': 1.0}
114.0,113.0,{'Weight': 1.0}
114.0,2108.0,{'Weight': 1.0}
114.0,36537.0,{'Weight': 1.0}
115.0,116.0,{'Weight': 1.0}
116.0,12726.0,{'Weight': 1.0}
116.0,5816.0,{'Weight': 1.0}
116.0,14357.0,{'Weight': 1.0}
32884.0,22033.0,{'Weight': 1.0}
118.0,2571.0,{'Weight': 1.0}
118.0,11653.0,{'Weight': 1.0}
118.0,31751.0,{'Weight': 1.0}
32891.0,10342.0,{'Weight': 1.0}
32892.0,1330.0,{'Weight': 1.0}
32893.0,12137.0,{'Weight': 1.0}
126.0,188.0,{'Weight': 1.0}
125.0,7097.0,{'Weight': 1.0}
125.0,11206.0,{'Weight': 1.0}
125.0,4282.0,{'Weight': 1.0}
130.0,4170.0,{'Weight': 1.0}
130.0,1205.0,{'Weight': 1.0}
130.0,27628.0,{'Weight': 1.0}
32902.0,24968.0,{'Weight': 1.0}
134.0,15592.0,{'Weight': 1.0}
134.0,19204.0,{'Weight': 1.0}
134.0,14155.0,{'Weight': 1.0}
32903.0,1501.0,{'Weight': 1.0}
138.0,2325.0,{'Weight': 1.0}
141.0,4120.0,{'Weight': 1.0}
141.0,9254.0,{'Weight': 1.0}
141.0,23534.0,{'Weight': 1.0}
141.0,1780.0,{'Weight': 1.0}
142.0,2282.0,{'Weight': 1.0}
142.0,9189.0,{'Weight': 1.0}
142.0,7671.0,{'Weight': 1.0}
32909.0,9750.0,{'Weight': 1.0}
144.0,10064.0,{'Weight': 1.0}
144.0,2491.0,{'Weight': 1.0}
144.0,17942.0,{'Weight': 1.0}
145.0,9253.0,{'Weight': 1.0}
145.0,5276.0,{'Weight': 1.0}
145.0,11371.0,{'Weight': 1.0}
147.0,11795.0,{'Weight': 1.0}
32916.0,13151.0,{'Weight': 1.0}
148.0,9731.0,{'Weight': 1.0}
148.0,5842.0,{'Weight': 1.0}
148.0,3827.0,{'Weight': 1.0}
32917.0,12493.0,{'Weight': 1.0}
151.0,7885.0,{'Weight': 1.0}
151.0,13129.0,{'Weight': 1.0}
151.0,15511.0,{'Weight': 1.0}
32920.0,29534.0,{'Weight': 1.0}
32919.0,26550.0,{'Weight': 1.0}
32922.0,22960.0,{'Weight': 1.0}
152.0,5640.0,{'Weight': 1.0}
152.0,7307.0,{'Weight': 1.0}
152.0,13691.0,{'Weight': 1.0}
32924.0,22099.0,{'Weight': 1.0}
157.0,543.0,{'Weight': 1.0}
32926.0,6717.0,{'Weight': 1.0}
159.0,5987.0,{'Weight': 1.0}
159.0,2821.0,{'Weight': 1.0}
159.0,31515.0,{'Weight': 1.0}
160.0,8565.0,{'Weight': 1.0}
160.0,9120.0,{'Weight': 1.0}
160.0,2468.0,{'Weight': 1.0}
161.0,2259.0,{'Weight': 1.0}
161.0,30499.0,{'Weight': 1.0}
161.0,6576.0,{'Weight': 1.0}
162.0,12672.0,{'Weight': 1.0}
162.0,6100.0,{'Weight': 1.0}
162.0,13652.0,{'Weight': 1.0}
163.0,16181.0,{'Weight': 1.0}
163.0,30987.0,{'Weight': 1.0}
163.0,32676.0,{'Weight': 1.0}
32928.0,24125.0,{'Weight': 1.0}
32933.0,11687.0,{'Weight': 1.0}
166.0,3982.0,{'Weight': 1.0}
168.0,15024.0,{'Weight': 1.0}
