Nodes Removed,Fraction of Nodes Removed,Mean Core Proportion,Std Dev Core Proportion
0,0.0,1.0,0.0
0,6.214654154496302e-05,0.9952830774967376,0.007134869565982906
1,0.00012429308308992604,0.9891566714312354,0.007404887455383327
3,0.00018643962463488905,0.9838418991983103,6.661338147750939e-16
3,0.0002485861661798521,0.9838418991983103,6.661338147750939e-16
5,0.0003107327077248151,0.9838418991983103,6.661338147750939e-16
6,0.0003728792492697781,0.9838418991983103,6.661338147750939e-16
7,0.0004350257908147412,0.9838418991983103,6.661338147750939e-16
7,0.0004971723323597041,0.9815536635386246,0.0022718344672296594
9,0.0005593188739046672,0.9788888198371761,0.0032005468895656072
10,0.0006214654154496302,0.9769771922192527,0.003631383821207401
11,0.0006836119569945933,0.975102852526257,0.003389417680994983
12,0.0007457584985395562,0.9732931452364676,0.003065073729329865
13,0.0008079050400845193,0.9715020819091419,0.003003785052760682
14,0.0008700515816294824,0.9698017525324714,0.0028905248370572896
15,0.0009321981231744453,0.968451929650115,0.0020906658177832303
15,0.0009943446647194083,0.9665278727238826,0.001469814977226463
17,0.0010564912062643714,0.9655086694425443,1.2212453270876722e-15
18,0.0011186377478093344,0.9648698029954627,0.0005981636100439778
19,0.0011807842893542975,0.9643577154931322,0.0007470252121941281
20,0.0012429308308992604,0.963853085575787,0.000898507467687264
21,0.0013050773724442234,0.963298738425206,0.0011511150090937092
22,0.0013672239139891865,0.9627767074762287,0.00124180920120645
23,0.0014293704555341496,0.9624833758001365,0.0013479606350207598
24,0.0014915169970791124,0.9619961469144243,0.0014204388423552452
25,0.0015536635386240755,0.9613299359890622,0.00138939209281957
26,0.0016158100801690386,0.9609172829532038,0.0013429774163283969
27,0.0016779566217140017,0.960447455099124,0.001315521185648795
28,0.0017401031632589647,0.960018643962464,0.0013976540272992285
29,0.0018022497048039276,0.9595003418059785,0.001436133293560917
30,0.0018643962463488907,0.9589845255111555,0.0013649898980423903
31,0.0019265427878938537,0.9586116462618857,0.0013537959018496512
31,0.0019886893294388166,0.958098315828724,0.0012815189494072851
33,0.00205083587098378,0.9576048722888566,0.0011381941852235998
34,0.0021129824125287427,0.9571300727114533,0.0011356123768633823
35,0.0021751289540737056,0.956799453110434,0.001195219374584376
36,0.002237275495618669,0.9563470262879866,0.0011823591445920122
37,0.0022994220371636317,0.9559020570505247,0.0012090395233332382
38,0.002361568578708595,0.9555577652103655,0.0011536273069521772
39,0.002423715120253558,0.9552047728543901,0.0011913347750327848
