Source,Target,Weight
18434.0,18426.0,1.0
8714.0,6491.0,1.0
8714.0,8715.0,1.0
8714.0,12654.0,1.0
8714.0,22810.0,1.0
523.0,524.0,1.0
523.0,7484.0,1.0
523.0,8269.0,1.0
523.0,12434.0,1.0
8715.0,9898.0,1.0
524.0,4286.0,1.0
524.0,2648.0,1.0
13331.0,663.0,1.0
13331.0,6680.0,1.0
13331.0,11670.0,1.0
6680.0,6681.0,1.0
6680.0,8010.0,1.0
6680.0,14062.0,1.0
6681.0,945.0,1.0
6681.0,13435.0,1.0
6681.0,11670.0,1.0
10783.0,1430.0,1.0
10783.0,9946.0,1.0
10783.0,13199.0,1.0
10783.0,12233.0,1.0
3109.0,118.0,1.0
3109.0,3110.0,1.0
3109.0,8349.0,1.0
3110.0,119.0,1.0
3110.0,1725.0,1.0
3110.0,19252.0,1.0
10278.0,2159.0,1.0
10278.0,2615.0,1.0
10278.0,17977.0,1.0
15403.0,9952.0,1.0
15403.0,11175.0,1.0
12333.0,2648.0,1.0
12333.0,12334.0,1.0
12334.0,17998.0,1.0
5166.0,3303.0,1.0
5166.0,6106.0,1.0
5166.0,14681.0,1.0
5166.0,11054.0,1.0
2615.0,927.0,1.0
2615.0,3457.0,1.0
2615.0,9171.0,1.0
15927.0,3932.0,1.0
15927.0,5784.0,1.0
15927.0,15658.0,1.0
17977.0,2158.0,1.0
17977.0,2476.0,1.0
17977.0,3457.0,1.0
4167.0,661.0,1.0
4167.0,3301.0,1.0
4167.0,6106.0,1.0
11853.0,6243.0,1.0
8269.0,4286.0,1.0
8269.0,7945.0,1.0
8269.0,10540.0,1.0
17998.0,17999.0,1.0
18004.0,14819.0,1.0
18004.0,21319.0,1.0
18004.0,21420.0,1.0
2647.0,2648.0,1.0
2647.0,10750.0,1.0
2647.0,14558.0,1.0
5721.0,5720.0,1.0
5721.0,6023.0,1.0
5721.0,9952.0,1.0
5721.0,8010.0,1.0
14938.0,1430.0,1.0
14938.0,6242.0,1.0
14938.0,8349.0,1.0
14938.0,13199.0,1.0
5720.0,3737.0,1.0
5720.0,7633.0,1.0
5720.0,14501.0,1.0
5217.0,2159.0,1.0
6242.0,6243.0,1.0
6242.0,7968.0,1.0
6243.0,8349.0,1.0
6243.0,12434.0,1.0
8290.0,5851.0,1.0
14437.0,7945.0,1.0
1638.0,432.0,1.0
1638.0,1639.0,1.0
1638.0,18137.0,1.0
1639.0,2159.0,1.0
2158.0,2159.0,1.0
2158.0,18137.0,1.0
10864.0,3302.0,1.0
118.0,119.0,1.0
118.0,9070.0,1.0
118.0,2488.0,1.0
13435.0,946.0,1.0
13435.0,11671.0,1.0
19068.0,9546.0,1.0
23167.0,7968.0,1.0
23167.0,23168.0,1.0
23168.0,12434.0,1.0
12421.0,927.0,1.0
12421.0,9171.0,1.0
4238.0,3301.0,1.0
4238.0,3302.0,1.0
4238.0,4239.0,1.0
4239.0,10111.0,1.0
12434.0,12435.0,1.0
12435.0,14558.0,1.0
2196.0,431.0,1.0
2196.0,432.0,1.0
663.0,6023.0,1.0
5784.0,5785.0,1.0
5785.0,3932.0,1.0
5785.0,9546.0,1.0
5785.0,11128.0,1.0
3737.0,927.0,1.0
3737.0,3457.0,1.0
3737.0,6023.0,1.0
8349.0,1725.0,1.0
19104.0,13199.0,1.0
10401.0,10402.0,1.0
10401.0,15107.0,1.0
10402.0,12009.0,1.0
10402.0,21319.0,1.0
14500.0,7633.0,1.0
14500.0,14501.0,1.0
14501.0,2476.0,1.0
14501.0,3457.0,1.0
1703.0,937.0,1.0
1703.0,3303.0,1.0
1703.0,10540.0,1.0
1703.0,10062.0,1.0
9897.0,6883.0,1.0
9897.0,9898.0,1.0
9897.0,9945.0,1.0
9897.0,15781.0,1.0
9898.0,12233.0,1.0
9898.0,12654.0,1.0
10412.0,2484.0,1.0
10412.0,6883.0,1.0
10412.0,11449.0,1.0
10412.0,15781.0,1.0
11449.0,2483.0,1.0
11449.0,13768.0,1.0
1725.0,1726.0,1.0
1726.0,20728.0,1.0
4286.0,4287.0,1.0
19149.0,10725.0,1.0
13014.0,11671.0,1.0
9945.0,9946.0,1.0
9945.0,15724.0,1.0
9945.0,12233.0,1.0
9946.0,9070.0,1.0
9946.0,12577.0,1.0
5851.0,3303.0,1.0
5851.0,10540.0,1.0
5851.0,11054.0,1.0
9952.0,7633.0,1.0
9952.0,11176.0,1.0
6883.0,15724.0,1.0
3301.0,3302.0,1.0
231.0,232.0,1.0
231.0,1464.0,1.0
231.0,4976.0,1.0
232.0,12577.0,1.0
232.0,18196.0,1.0
3303.0,8571.0,1.0
12009.0,10061.0,1.0
12009.0,14634.0,1.0
14062.0,945.0,1.0
14062.0,13768.0,1.0
14581.0,8011.0,1.0
14581.0,11176.0,1.0
20728.0,10750.0,1.0
20728.0,20733.0,1.0
15107.0,21430.0,1.0
15107.0,21431.0,1.0
15107.0,21432.0,1.0
7945.0,7946.0,1.0
18196.0,3514.0,1.0
13589.0,3052.0,1.0
13589.0,7967.0,1.0
13589.0,14634.0,1.0
22805.0,15853.0,1.0
22805.0,22806.0,1.0
7967.0,937.0,1.0
7967.0,7968.0,1.0
7968.0,7484.0,1.0
12577.0,3514.0,1.0
12577.0,15724.0,1.0
15139.0,2483.0,1.0
15658.0,11175.0,1.0
10540.0,7484.0,1.0
11054.0,10725.0,1.0
11054.0,11055.0,1.0
7484.0,937.0,1.0
9546.0,15781.0,1.0
8011.0,8010.0,1.0
8011.0,13768.0,1.0
8010.0,11176.0,1.0
10061.0,373.0,1.0
10061.0,10062.0,1.0
10061.0,14819.0,1.0
10062.0,8571.0,1.0
21326.0,10111.0,1.0
21326.0,21330.0,1.0
14681.0,8571.0,1.0
14681.0,13288.0,1.0
6490.0,6491.0,1.0
6490.0,12668.0,1.0
6490.0,15854.0,1.0
6491.0,21420.0,1.0
3932.0,2484.0,1.0
3932.0,3931.0,1.0
3931.0,2483.0,1.0
3931.0,11175.0,1.0
19299.0,15854.0,1.0
9070.0,3514.0,1.0
9070.0,13199.0,1.0
12654.0,11128.0,1.0
12654.0,15781.0,1.0
4976.0,946.0,1.0
4976.0,4975.0,1.0
4975.0,945.0,1.0
4975.0,13768.0,1.0
373.0,8571.0,1.0
11671.0,11670.0,1.0
11175.0,11176.0,1.0
2475.0,2476.0,1.0
431.0,432.0,1.0
945.0,946.0,1.0
2483.0,2484.0,1.0
2488.0,3514.0,1.0
6106.0,10725.0,1.0
6106.0,13288.0,1.0
10725.0,18426.0,1.0
15853.0,15854.0,1.0
10750.0,10751.0,1.0
