Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
6659.0,1263808.04087493,235715.197989419,4.0,187805.2307507591,12.143160698141363
2062.0,1264468.9841076,235702.186533406,3.0,152055.88987931606,11.932003428819042
2063.0,1264481.29380362,236144.96253386105,3.0,155812.5263504148,11.95640880938208
6163.0,1263555.83402666,233398.559587047,4.0,741679.5280807004,13.516672525996416
5659.0,1263146.88273025,235728.120549425,4.0,228988.2018003569,12.34142576068669
17949.0,1264844.86717999,233681.863139331,4.0,2316308.777600868,14.655485432450073
3105.0,1262751.29399385,232565.857826188,3.0,2834512.267554727,14.857380440680233
34.0,1263108.5517862,234405.380708069,3.0,124604.97100686008,11.732903780260866
35.0,1262935.07281002,234409.333796084,3.0,120262.17216952635,11.697429406708222
3106.0,1262911.67556201,232837.737506464,3.0,598772.7824398396,13.302637476987286
14887.0,1263570.79626667,234031.838179693,4.0,277839.93872671155,12.534800466883492
553.0,1263795.43626691,235272.85539695603,5.0,666608.7832024854,13.409958620890313
4141.0,1263863.25732298,233077.160930708,4.0,1304449.2737314086,14.081291497200256
21043.0,1262265.70928934,233554.857187197,2.0,211302.56486765828,12.261046342042821
13363.0,1264811.61924395,236138.253541842,4.0,330974.6194911056,12.709796973144666
5180.0,1262597.45668168,233738.245923385,4.0,66860.31344843365,11.110360848094025
10817.0,1263820.64157894,236157.768933862,3.0,29571.44823351928,10.29456458809359
3145.0,1262486.12260157,235741.034853444,4.0,69490.76384463951,11.148949128399916
20045.0,1262121.0134172,233546.121955201,2.0,74769.54882529663,11.222165979808263
17997.0,1261530.07760859,233994.621027648,4.0,174069.1318958214,12.067207809036148
7250.0,1264185.42564331,233069.141282707,4.0,597800.4965202333,13.301012359410809
5221.0,1262407.48560949,233427.339683071,4.0,390999.7988688886,12.876462324565551
6254.0,1262777.87792987,234412.812452078,3.0,78450.33485905609,11.27022102659128
2166.0,1263121.29911421,234843.545828521,4.0,184801.7340536591,12.127038821552944
2167.0,1263134.06679423,235285.90160498,4.0,252697.42959062036,12.439948121542283
1156.0,1262911.98493801,233414.531299055,4.0,139525.67072625246,11.846003882857067
2182.0,1263840.31671496,232714.748962343,4.0,1408992.0720437372,14.158385164210436
2183.0,1263500.55818661,232723.950370356,3.0,261461.7539769859,12.474043295488462
11407.0,1262904.82973799,233101.648738742,3.0,134521.56335150436,11.8094797874898
10902.0,1263166.23146626,236386.2658941,4.0,254145.27546112135,12.445661333133586
4779.0,1263889.75786701,234024.177443683,4.0,128281.46328611324,11.761982060712045
4780.0,1263899.93309902,234387.803684056,3.0,76175.54115691232,11.240795707956176
5811.0,1262278.33725736,233116.423010752,2.0,1627.0543718698232,7.394526525142412
15548.0,1261816.79127288,234868.823396549,3.0,448922.4638597691,13.014605465531261
