Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality
512.0,10,12,4.0,93132.79484770483
513.0,10,13,4.0,96651.1134138506
162.0,3,12,4.0,40045.82362657987
163.0,3,13,4.0,40808.72642095185
264.0,5,14,4.0,60788.16191291305
362.0,7,12,4.0,73801.15039583168
363.0,7,13,4.0,76013.67130959565
364.0,7,14,4.0,77949.12994893415
365.0,7,15,4.0,79636.26317839896
462.0,9,12,4.0,87230.03462603469
463.0,9,13,4.0,90304.40376023612
213.0,4,13,4.0,50472.06681746788
214.0,4,14,4.0,51406.59972072505
312.0,6,12,4.0,66248.19246742887
314.0,6,14,4.0,69632.35705637153
413.0,8,13,4.0,83427.5673611077
415.0,8,15,4.0,87766.83481341752
