Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality
23.0,0,23,3.0,7741.442481169844
25.0,0,25,3.0,7742.963780717393
26.0,0,26,3.0,7741.442481169848
32.0,0,32,3.0,7684.216332295887
40.0,0,40,3.0,7169.883398673985
49.0,0,49,2.0,15.835188700256472
68.0,1,18,4.0,20258.653933654496
73.0,1,23,4.0,20530.26501800133
74.0,1,24,4.0,20542.89487385241
75.0,1,25,4.0,20542.894873852463
77.0,1,27,4.0,20504.74434706065
78.0,1,28,4.0,20465.80239815304
82.0,1,32,4.0,20154.47483923052
90.0,1,40,4.0,18179.18305561124
92.0,1,42,4.0,17056.20200701522
99.0,1,49,3.0,2542.380566100758
112.0,2,12,4.0,30027.474544676268
113.0,2,13,4.0,30512.025077442173
117.0,2,17,4.0,31844.510380018528
118.0,2,18,4.0,32061.219020379755
119.0,2,19,4.0,32240.719117342927
122.0,2,22,4.0,32583.39490754165
123.0,2,23,4.0,32638.48623808272
125.0,2,25,4.0,32665.82253947388
127.0,2,27,4.0,32583.394907541657
128.0,2,28,4.0,32499.697025867023
129.0,2,29,4.0,32386.079095493325
130.0,2,30,4.0,32240.719117342964
131.0,2,31,4.0,32061.2190203798
132.0,2,32,4.0,31844.5103800185
140.0,2,40,4.0,28015.43908187837
141.0,2,41,4.0,27086.71522480054
142.0,2,42,4.0,25973.551214550957
143.0,2,43,4.0,24623.702945004105
148.0,2,48,4.0,10287.724094532834
149.0,2,49,3.0,4039.5261093450927
161.0,3,11,4.0,39160.68764948595
162.0,3,12,4.0,40045.82362657987
163.0,3,13,4.0,40808.72642095185
165.0,3,15,4.0,42034.00605729301
166.0,3,16,4.0,42520.9983193831
167.0,3,17,4.0,42936.51525144045
173.0,3,23,4.0,44230.59221135781
175.0,3,25,4.0,44275.57755778356
176.0,3,26,4.0,44230.59221135781
178.0,3,28,4.0,44002.671807954655
179.0,3,29,4.0,43816.65998377893
180.0,3,30,4.0,43579.3995204632
182.0,3,32,4.0,42936.51525144045
191.0,3,41,4.0,35512.10976195008
192.0,3,42,4.0,33835.1680363982
193.0,3,43,4.0,31830.2867286818
194.0,3,44,4.0,29409.32747270694
196.0,3,46,4.0,22808.010749407484
199.0,3,49,3.0,5012.071017669795
212.0,4,12,4.0,49393.24334848883
213.0,4,13,4.0,50472.06681746788
214.0,4,14,4.0,51406.59972072505
215.0,4,15,4.0,52214.85823160801
216.0,4,16,4.0,52911.20253539131
217.0,4,17,4.0,53507.11256362538
218.0,4,18,4.0,54011.774416026776
222.0,4,22,4.0,55243.19064789479
223.0,4,23,4.0,55374.49082559726
224.0,4,24,4.0,55439.74660192051
225.0,4,25,4.0,55439.74660192047
226.0,4,26,4.0,55374.49082559723
227.0,4,27,4.0,55243.19064789473
228.0,4,28,4.0,55044.24137798389
237.0,4,37,4.0,49393.24334848882
240.0,4,40,4.0,45032.40775395064
241.0,4,41,4.0,43080.54344132391
243.0,4,43,4.0,38091.21846724716
244.0,4,44,4.0,34885.385122565305
246.0,4,46,4.0,26454.583426671128
247.0,4,47,4.0,20890.91308503117
248.0,4,48,4.0,14106.43035501867
249.0,4,49,3.0,5683.009307131684
261.0,5,11,4.0,56475.17488434664
262.0,5,12,4.0,58118.163062069245
264.0,5,14,4.0,60788.16191291305
265.0,5,15,4.0,61864.885464105246
266.0,5,16,4.0,62794.71145692126
267.0,5,17,4.0,63592.05001661142
268.0,5,18,4.0,64268.48890991425
269.0,5,19,4.0,64833.3064522165
270.0,5,20,4.0,65293.86723681358
271.0,5,21,4.0,65655.92343351785
272.0,5,22,4.0,65923.84039266306
275.0,5,25,4.0,66188.72154629545
276.0,5,26,4.0,66100.76125266352
277.0,5,27,4.0,65923.84039266307
278.0,5,28,4.0,65655.92343351786
279.0,5,29,4.0,65293.86723681359
282.0,5,32,4.0,63592.05001661147
283.0,5,33,4.0,62794.71145692115
285.0,5,35,4.0,60788.161912913005
286.0,5,36,4.0,59546.65224753312
287.0,5,37,4.0,58118.16306206928
288.0,5,38,4.0,56475.17488434669
294.0,5,44,4.0,39550.98279849974
295.0,5,45,4.0,34885.385122565334
296.0,5,46,4.0,29409.32747270692
297.0,5,47,4.0,22964.08875100984
299.0,5,49,3.0,6165.9894217443925
310.0,6,10,4.0,61804.94557806291
311.0,6,11,4.0,64177.11430802889
312.0,6,12,4.0,66248.19246742887
313.0,6,13,4.0,68056.12207519215
314.0,6,14,4.0,69632.35705637153
315.0,6,15,4.0,71002.79773990215
316.0,6,16,4.0,72188.657883097
317.0,6,17,4.0,73207.23083979868
318.0,6,18,4.0,74072.54168356571
319.0,6,19,4.0,74795.88594150958
320.0,6,20,4.0,75386.26364782894
321.0,6,21,4.0,75850.72106664052
322.0,6,22,4.0,76194.61310855039
325.0,6,25,4.0,76534.77667466427
326.0,6,26,4.0,76421.79836668789
327.0,6,27,4.0,76194.61310855037
328.0,6,28,4.0,75850.72106664059
333.0,6,33,4.0,72188.65788309708
334.0,6,34,4.0,71002.79773990231
335.0,6,35,4.0,69632.35705637155
336.0,6,36,4.0,68056.12207519208
337.0,6,37,4.0,66248.19246742892
338.0,6,38,4.0,64177.11430802892
339.0,6,39,4.0,61804.945578062914
340.0,6,40,4.0,59086.31241627683
341.0,6,41,4.0,55967.53731941699
342.0,6,42,4.0,52385.92601041083
344.0,6,44,4.0,43535.34914934065
345.0,6,45,4.0,38091.21846724716
348.0,6,48,4.0,16293.928440173724
349.0,6,49,3.0,6524.511793085996
359.0,7,9,4.0,65131.83113302283
360.0,7,10,4.0,68403.08055957874
361.0,7,11,4.0,71277.55075156434
362.0,7,12,4.0,73801.15039583168
363.0,7,13,4.0,76013.67130959565
364.0,7,14,4.0,77949.12994893415
365.0,7,15,4.0,79636.26317839896
366.0,7,16,4.0,81099.10178345702
369.0,7,19,4.0,84323.67385626251
370.0,7,20,4.0,85055.2845785867
371.0,7,21,4.0,85631.20134771978
372.0,7,22,4.0,86057.81472589153
373.0,7,23,4.0,86339.7382701345
376.0,7,26,4.0,86339.73827013446
377.0,7,27,4.0,86057.81472589156
378.0,7,28,4.0,85631.20134771983
383.0,7,33,4.0,81099.10178345705
384.0,7,34,4.0,79636.26317839908
386.0,7,36,4.0,76013.67130959567
387.0,7,37,4.0,73801.15039583163
388.0,7,38,4.0,71277.55075156437
389.0,7,39,4.0,68403.08055957868
390.0,7,40,4.0,65131.83113302294
391.0,7,41,4.0,61411.66273195666
392.0,7,42,4.0,57184.351560628966
393.0,7,43,4.0,52385.92601041089
394.0,7,44,4.0,46946.895357394365
396.0,7,46,4.0,33835.16803639819
397.0,7,47,4.0,25973.55121455101
398.0,7,48,4.0,17056.202007015294
399.0,7,49,3.0,6796.608275842597
408.0,8,8,4.0,66264.81263682494
409.0,8,9,4.0,70580.2413125296
411.0,8,11,4.0,77797.61695384653
413.0,8,13,4.0,83427.5673611077
414.0,8,14,4.0,85742.8028028712
415.0,8,15,4.0,87766.83481341752
417.0,8,17,4.0,91041.35540824948
418.0,8,18,4.0,92332.23490390352
419.0,8,19,4.0,93413.45428258277
420.0,8,20,4.0,94297.27105089575
421.0,8,21,4.0,94993.39465949252
424.0,8,24,4.0,96019.9056089275
427.0,8,27,4.0,95509.26361576506
434.0,8,34,4.0,87766.8348134175
435.0,8,35,4.0,85742.80280287132
436.0,8,36,4.0,83427.56736110784
437.0,8,37,4.0,80790.79001505987
438.0,8,38,4.0,77797.61695384655
442.0,8,42,4.0,61411.66273195671
444.0,8,44,4.0,49876.841524341966
446.0,8,46,4.0,35512.10976195006
447.0,8,47,4.0,27086.71522480054
456.0,9,6,4.0,59086.31241627683
457.0,9,7,4.0,65131.83113302289
458.0,9,8,4.0,70580.24131252982
459.0,9,9,4.0,75473.28304711977
461.0,9,11,4.0,83758.29246121629
462.0,9,12,4.0,87230.03462603469
463.0,9,13,4.0,90304.40376023612
465.0,9,15,4.0,95392.89416709333
467.0,9,17,4.0,99252.90862967414
469.0,9,19,4.0,102057.63828983413
472.0,9,22,4.0,104540.3388649702
474.0,9,24,4.0,105145.79774526236
475.0,9,25,4.0,105145.79774526248
477.0,9,27,4.0,104540.3388649703
478.0,9,28,4.0,103928.88877645889
482.0,9,32,4.0,99252.9086296742
486.0,9,36,4.0,90304.40376023596
488.0,9,38,4.0,83758.29246121639
490.0,9,40,4.0,75473.28304711975
491.0,9,41,4.0,70580.24131252975
495.0,9,45,4.0,45032.40775395076
508.0,10,8,4.0,74408.66500623176
509.0,10,9,4.0,79852.41038994576
511.0,10,11,4.0,89181.83250238543
512.0,10,12,4.0,93132.79484770483
513.0,10,13,4.0,96651.1134138506
515.0,10,15,4.0,102511.617142531
517.0,10,17,4.0,106984.1390736677
519.0,10,19,4.0,110245.66152578176
521.0,10,21,4.0,112426.05849612252
522.0,10,22,4.0,113139.16177236228
523.0,10,23,4.0,113610.82915497136
524.0,10,24,4.0,113845.55173029732
525.0,10,25,4.0,113845.55173029736
526.0,10,26,4.0,113610.82915497132
527.0,10,27,4.0,113139.16177236223
528.0,10,28,4.0,112426.05849612254
531.0,10,31,4.0,108757.0682456644
532.0,10,32,4.0,106984.13907366784
533.0,10,33,4.0,104909.20783042764
536.0,10,36,4.0,96651.11341385056
538.0,10,38,4.0,89181.8325023853
541.0,10,41,4.0,74408.66500623184
542.0,10,42,4.0,68403.08055957875
544.0,10,44,4.0,54583.61073887203
545.0,10,45,4.0,46705.95792377967
546.0,10,46,4.0,38130.88296864355
547.0,10,47,4.0,28797.653602891525
563.0,11,13,4.0,102476.16772027296
566.0,11,16,4.0,111853.8249702372
568.0,11,18,4.0,116256.87933292022
569.0,11,19,4.0,117964.96020593889
570.0,11,20,4.0,119365.40238483594
571.0,11,21,4.0,120470.85855890236
572.0,11,22,4.0,121291.33218661117
573.0,11,23,4.0,121834.23924582088
574.0,11,24,4.0,122104.47633876729
576.0,11,26,4.0,121834.23924582078
578.0,11,28,4.0,120470.85855890234
580.0,11,30,4.0,117964.96020593884
581.0,11,31,4.0,116256.8793329201
585.0,11,35,4.0,106002.69553727254
586.0,11,36,4.0,102476.167720273
587.0,11,37,4.0,98514.8503628654
588.0,11,38,4.0,94092.19831438408
591.0,11,41,4.0,77797.61695384671
592.0,11,42,4.0,71277.55075156438
593.0,11,43,4.0,64177.11430802892
594.0,11,44,4.0,56475.17488434656
595.0,11,45,4.0,48147.437924724654
613.0,12,13,4.0,107790.16977723592
615.0,12,15,4.0,115217.70351277717
616.0,12,16,4.0,118292.2765111642
617.0,12,17,4.0,120968.58457983556
619.0,12,19,4.0,125201.73709987376
620.0,12,20,4.0,126791.27579500656
621.0,12,21,4.0,128047.39618813054
622.0,12,22,4.0,128980.43421761916
623.0,12,23,4.0,129598.1512191067
626.0,12,26,4.0,129598.15121910666
627.0,12,27,4.0,128980.4342176192
629.0,12,29,4.0,126791.27579500666
630.0,12,30,4.0,125201.73709987372
633.0,12,33,4.0,118292.27651116418
636.0,12,36,4.0,107790.16977723582
637.0,12,37,4.0,103394.0702085942
640.0,12,40,4.0,87230.03462603441
641.0,12,41,4.0,80790.79001505989
642.0,12,42,4.0,73801.15039583153
644.0,12,44,4.0,58118.16306206925
663.0,13,13,4.0,112605.9751923258
664.0,13,14,4.0,116938.45364522457
665.0,13,15,4.0,120804.0000521732
667.0,13,17,4.0,127203.6361851029
668.0,13,18,4.0,129772.22671823374
669.0,13,19,4.0,131941.61935678436
670.0,13,20,4.0,133726.1989923813
671.0,13,21,4.0,135138.40117858295
672.0,13,22,4.0,136188.43164905018
673.0,13,23,4.0,136884.07583283214
674.0,13,24,4.0,137230.57909805153
675.0,13,25,4.0,137230.57909805165
678.0,13,28,4.0,135138.40117858295
679.0,13,29,4.0,133726.19899238134
680.0,13,30,4.0,131941.61935678424
681.0,13,31,4.0,129772.22671823372
682.0,13,32,4.0,127203.63618510288
683.0,13,33,4.0,124219.89920252518
684.0,13,34,4.0,120804.00005217308
685.0,13,35,4.0,116938.45364522444
686.0,13,36,4.0,112605.97519232587
688.0,13,38,4.0,102476.16772027298
689.0,13,39,4.0,96651.11341385056
691.0,13,41,4.0,83427.56736110763
692.0,13,42,4.0,76013.67130959572
713.0,14,13,4.0,116938.4536452244
714.0,14,14,4.0,121654.12213609682
716.0,14,16,4.0,129633.81783818374
717.0,14,17,4.0,132923.44266237956
718.0,14,18,4.0,135764.42385386003
720.0,14,20,4.0,140153.56689164334
723.0,14,23,4.0,143672.0530664783
