Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
5125.0,1268575.89713581,254749.799992904,4.0,97720.0887082691,11.489862433151341
3083.0,1266203.81726138,252395.1105185,4.0,1053971.8147455913,13.8680762664978
3084.0,1266870.36414206,252381.631158486,4.0,1184995.692665537,13.98524969766336
1552.0,1267744.12126295,252911.809911028,4.0,1036697.5553463228,13.85155079119742
1553.0,1268212.54980743,252901.768247008,3.0,522117.67464880086,13.165648271820857
24.0,1267581.43787079,255034.246649206,4.0,356581.0613360891,12.784316874016238
6171.0,1265590.64260475,255073.862649232,4.0,355630.7724189623,12.781648315489065
5684.0,1266272.75050944,253738.154423878,4.0,275879.983214857,12.527721206703037
2613.0,1266903.65374209,254254.656312406,4.0,3483472.888508946,15.063540310591236
14903.0,1268221.18558344,253436.535927564,4.0,306373.721132342,12.63256094663106
16440.0,1265575.31850873,254281.91576843,4.0,3360002.819949813,15.027452371209813
19512.0,1268305.22481553,254973.06431312897,3.0,390923.12356088223,12.876266204702448
12867.0,1262951.18135405,254860.133113027,3.0,7517.898901423147,8.925041976497544
1092.0,1268242.51921546,254757.32524091,4.0,129327.23202955438,11.770101153795306
14923.0,1269351.1026406,253409.968375534,4.0,3597764.859851093,15.095823338341754
18000.0,1262945.50647403,254596.167800754,3.0,22708.44115888246,10.030491991567224
8273.0,1263604.29815471,254583.552312732,4.0,70625.24752458345,11.165142973215463
16976.0,1262939.83031404,254332.201464474,4.0,3207479.202963633,14.980995891573631
4185.0,1264926.90513207,254822.374008983,4.0,143064.78925464675,11.871052878346864
4186.0,1264931.85815607,255086.335417256,4.0,371794.5096910864,12.826096587326363
8799.0,1263593.18596271,254050.488440186,4.0,45619.84046181052,10.728097998721578
8800.0,1263598.78897071,254319.60991247,4.0,3210123.061466261,14.981819831276736
18527.0,1262922.52823402,253527.616439655,3.0,22900.153035242565,10.038898872281685
8291.0,1264905.85591605,253759.535927892,4.0,200153.98885540443,12.206842293552159
8292.0,1265565.04260473,253750.788215891,4.0,238171.34804078544,12.380745643365312
16486.0,1264257.74634738,254307.016120449,4.0,3250060.7999131056,14.994184261796505
4713.0,1265585.53566074,254809.880568966,4.0,156394.27022846867,11.960135471054409
9836.0,1263587.6259627,253783.387255922,4.0,93684.88912971818,11.447692186595058
3181.0,1266923.83710212,255310.941625476,4.0,1489164.15950787,14.213725553747674
9837.0,1262928.28145002,253795.100791931,3.0,55371.11374612883,10.921813324227843
17013.0,1269484.83396873,253406.72952753297,3.0,2164581.875572446,14.587737771701063
4214.0,1267739.48510295,252643.89675875,4.0,317558.0534527473,12.668415926121142
4215.0,1268090.54411131,252635.823926747,3.0,78354.31186916275,11.268996279698891
7800.0,1267560.91659077,253980.024632126,4.0,124265.91296752314,11.730179007931559
13433.0,1265543.4671807,252681.587958783,4.0,1334094.8528869192,14.103763607043062
8333.0,1266249.95102142,254796.327800959,4.0,187672.6831096097,12.142454677138463
5265.0,1269556.12913682,253677.633847803,3.0,241751.4195561895,12.395665285299085
3219.0,1266255.61207743,252937.436151057,4.0,1468635.1358351617,14.199844048427579
3220.0,1266265.19934145,253203.366391316,4.0,1462341.853252189,14.19554971771277
3239.0,1263576.50391468,253249.174391374,4.0,256864.33603663303,12.456303349158276
3240.0,1263582.0652587,253516.27589564,4.0,67581.00442036586,11.121082222844512
9898.0,1268893.89752012,253950.07820008704,3.0,195603.97262402883,12.183847346315408
7340.0,1268650.13451189,252982.22975109503,3.0,161837.43132849468,11.994347600042998
177.0,1268898.14552014,254213.515320361,4.0,3705480.947411525,15.125323618655171
178.0,1268902.42276815,254477.183736622,5.0,646623.842571007,13.379520017350233
6321.0,1269230.60548848,254205.454648346,5.0,4427542.059799383,15.303355148266366
7865.0,1265580.42775674,254545.898168698,4.0,260986.27512532403,12.472223099195425
194.0,1267571.34635077,254506.137080655,4.0,443660.4607275118,13.002814820769487
10952.0,1265549.54065271,252949.59627907,4.0,1545206.0730456966,14.250667840031682
4827.0,1268788.45739202,252707.176822811,4.0,27729.11021255934,10.230238050556578
4828.0,1269068.9191523,253047.90744715897,3.0,30680.05495145337,10.331368046596062
11493.0,1268885.75313613,253420.963127553,3.0,323704.86717519053,12.68758747586923
6886.0,1265554.68862072,253215.660343334,4.0,1086169.065248142,13.89816744438368
11494.0,1268889.70526412,253690.054455817,4.0,364597.5432617789,12.80654940303005
5351.0,1268238.25611146,254493.403192639,4.0,525505.1119126499,13.172115196963817
10984.0,1268216.88734344,253170.42162329,4.0,2971594.169273172,14.904609124107228
4329.0,1268910.38891214,255001.978297159,3.0,1584501.9587573423,14.275780694311365
4330.0,1268914.44369616,255265.76652143904,3.0,1597486.2291567368,14.283941844950498
5357.0,1266245.01630142,254532.227640688,4.0,333118.1521160847,12.7162525171914
1280.0,1269559.41028881,253937.79935208,5.0,503649.43327923806,13.12963573614283
8969.0,1264252.22237937,254038.29388018,4.0,93064.198804405,11.441044843706013
5392.0,1268208.76369543,252708.81067881,4.0,128388.61245098592,11.762816978228544
6431.0,1267732.37092695,252364.570550472,5.0,1474173.84642217,14.203608286718586
7968.0,1264911.17418805,254025.970104173,4.0,134642.46864703594,11.810378163864723
7969.0,1264916.70500405,254294.424632445,4.0,3310901.106764113,15.012730947996374
6432.0,1268200.78961542,252351.437686458,4.0,2067288.6593657855,14.54174848027582
7461.0,1266240.08458941,254268.273080409,4.0,3428534.8736354555,15.047643577343743
6950.0,1264263.11146739,254571.361400723,4.0,130694.12091450737,11.780614917074274
12073.0,1262934.03345002,254062.616312206,3.0,8471.266830106908,9.044435343180757
12595.0,1264246.73911537,253771.580535904,4.0,151949.17080279108,11.931301341290174
3892.0,1266887.46481408,253191.841207311,4.0,1902497.7959883504,14.458678210235494
3891.0,1266883.67876607,252926.621239036,4.0,1303840.0593932504,14.080824360106606
16702.0,1268233.99563146,254229.621944368,4.0,3678867.3910297146,15.118115488596214
10575.0,1268203.63051142,252482.685750589,3.0,17016.444345435102,9.741935469928588
12626.0,1268246.78263947,255021.270585179,4.0,371374.4758673196,12.824966201433908
11603.0,1268906.45688014,252472.022070572,3.0,2077381.5918279896,14.546618808577442
11109.0,1269315.70961656,252952.16645506,3.0,2134675.4458823,14.573825177109075
20329.0,1268872.37099211,253118.651063234,4.0,3216482.1643656106,14.983798824773706
1388.0,1267568.61207877,252092.747254193,4.0,502203.6194015138,13.126760932771473
6024.0,1264230.28215535,252971.089655086,4.0,1475942.4899281452,14.204807319920143
14730.0,1268229.77451146,253968.274040103,3.0,73234.40349249622,11.201420582604143
9098.0,1262916.77623402,253260.102199376,3.0,88649.39456514595,11.392444481982654
12701.0,1264268.4683954,254835.307064995,4.0,83887.65699206399,11.337233765924305
16798.0,1264241.25655536,253504.867127627,4.0,137922.0634240573,11.834444046806903
7074.0,1264235.77361137,253238.153783366,4.0,510961.0369347673,13.144048617618818
1452.0,1268908.38532814,254871.683641031,3.0,1700023.1925264976,14.34615245159603
7086.0,1267544.53009474,253182.386487305,4.0,2428551.855901039,14.702805693597835
9141.0,1268906.29086414,254741.39090490303,3.0,43910.80145230648,10.689915615548303
6071.0,1266256.67441343,254004.526264146,4.0,167512.98307898742,12.02881613816277
11199.0,1266891.50878207,253457.35736759,4.0,276792.0783153936,12.531021883513358
11200.0,1267549.99006276,253448.193719581,4.0,298263.4713534045,12.605732506931417
8134.0,1269554.43422481,253543.283063665,4.0,5872406.298451718,15.585775039398417
5587.0,1264900.60100403,253493.095479622,4.0,181166.74846869084,12.107173148404302
1495.0,1266913.42935811,254783.045048937,4.0,166705.63784897633,12.023984888496782
1496.0,1266918.31185411,255046.999545217,4.0,353224.4012401896,12.774858831509604
8688.0,1266212.94186938,252669.653238773,4.0,903484.362563496,13.714014081242611
5622.0,1266255.08158143,255060.277049229,4.0,379981.3551734719,12.847877465165856
7671.0,1266875.79652606,252657.638518766,4.0,565445.4644463847,13.2453691321273
