Node ID,Longitude,Latitude,Degree Centrality,Betweenness Centrality,Log Betweenness Centrality
2568.0,1253495.08675236,237890.987623647,4.0,41641.27706483417,10.636847191442913
14857.0,1254970.74486588,237789.869031534,4.0,93829.53256542064,11.449234931553907
8206.0,1255946.26883487,237351.14154309,3.0,7097.764075757848,8.867535094524689
5135.0,1255612.86237054,236149.557989866,4.0,10937.121976580049,9.299917967927332
16918.0,1257585.01494855,237818.450023577,1.0,0.0,
16919.0,1257275.75043623,237823.64419958004,3.0,94362.27169481872,11.454896607996748
3620.0,1255299.72355421,237783.450087532,4.0,80359.640423131,11.294267344343586
3621.0,1255320.33309023,238526.701224297,4.0,133159.31817534135,11.79930157133447
13355.0,1253980.21212886,237580.275623322,3.0,112531.65828986188,11.630989868060077
13870.0,1254893.03996979,236745.659494475,1.0,0.0,
3118.0,1255235.21552214,235346.43395704,4.0,24989.42425582296,10.126207984580923
14916.0,1255334.81469025,236412.95088613,3.0,11192.623036483266,9.323010182816217
8772.0,1255905.92803483,235986.4169337,3.0,77050.1123366957,11.25221129871859
14929.0,1254641.98896153,237796.282407552,3.0,13122.960700157366,9.482118700161738
1113.0,1255601.27120252,235603.713317305,4.0,25639.67629878363,10.15189628610248
1115.0,1255917.65865885,236406.366886124,3.0,41964.646665732274,10.644582796744373
1116.0,1255619.98211454,236409.460390121,4.0,41188.576259135225,10.625916221626017
2652.0,1255659.67920259,237776.55607152,4.0,94706.1981729208,11.458534727643995
3182.0,1254991.2127059,238532.743208304,4.0,130986.93253614352,11.782852845575272
114.0,1253666.65104054,238556.65130432,4.0,80898.22686892231,11.300947185240535
115.0,1253514.05622438,238559.390120327,3.0,4878.160146389235,8.492523408575058
14450.0,1255457.32265837,236151.58787787,4.0,43846.88523015145,10.68845896289774
1654.0,1255270.23184218,236669.39984639,3.0,71537.72579268667,11.177980222996657
8822.0,1256617.62083556,237758.516071513,4.0,50529.84313392888,10.830319393866509
8824.0,1254676.56796958,239054.671592832,3.0,101879.73902838636,11.531548367531283
23160.0,1257240.26954019,237150.727270886,2.0,22557.44956782926,10.023820648149844
23161.0,1256929.11632387,237155.016614884,3.0,1407.1305144650833,7.249307813626218
14474.0,1254881.39760178,235608.821221307,2.0,288.1040449630445,5.663321682127445
22160.0,1256479.09488341,235532.579941228,3.0,107124.56954246444,11.58174763761863
11426.0,1255809.51849873,235603.019045293,3.0,1516.3776724864451,7.324079659507432
12978.0,1253341.72355221,238562.482984334,3.0,53945.969299358,10.895738256113159
179.0,1256268.74326721,237184.078246921,1.0,0.0,
10932.0,1254680.41212958,239201.790440992,3.0,59714.872137534825,10.997336382888392
10933.0,1254491.76163338,239205.085032985,1.0,0.0,
180.0,1256273.2337632,237345.089063078,3.0,66196.9562274178,11.100389762430261
15033.0,1254495.73404938,238541.771048307,1.0,0.0,
9404.0,1256286.06147522,237764.559719518,3.0,59181.92999732245,10.98837153774623
9405.0,1255958.18153888,237770.839527518,4.0,76331.53266518233,11.242841404050933
19137.0,1257606.43811657,236222.473189935,3.0,73833.53344938594,11.209568290170974
17607.0,1255895.05833882,235570.736677274,4.0,47592.19628099713,10.770424083102746
15064.0,1255913.19081883,236246.41904595503,3.0,11881.443657671973,9.382733105539737
13532.0,1253476.80169635,237233.903910965,3.0,46138.175354352,10.73939598509299
20730.0,1257604.57686856,236188.117285907,1.0,0.0,
12042.0,1254661.82588956,238538.789800301,4.0,57786.47404119113,10.964510014146944
7952.0,1255042.80150595,235876.015909582,3.0,118215.21511904136,11.680262099181324
11030.0,1256913.78166786,236490.590822205,2.0,107.98891856353674,4.682028615966697
15127.0,1255283.0411862,237201.488678932,4.0,126347.2343492551,11.746789223769932
