strategy,mean_communities,std_communities,min_communities,max_communities,mean_modularity,std_modularity
BC,127.8,2.7129319932501077,123,132,0.9782372324490736,0.00013443144004157188
DC,119.1,3.080584360149872,114,124,0.9776858698844262,8.214349496278707e-05
