node_id,longitude,latitude
0,-122.384863730144,47.6887435976678
1,-122.304711275917,47.6183597367883
2,-122.32041229422698,47.7039872006608
3,-122.37372279893002,47.66934326940051
5,-122.387721216103,47.6694057169524
7,-122.32820688836098,47.6850435854652
9,-122.31877677057,47.7666683928356
11,-122.320139069656,47.6318118305218
13,-122.37402487867298,47.69070840989641
16,-122.297772577427,47.624328093141706
17,-122.319127548026,47.6323602099498
21,-122.27748094972652,47.6523337240977
33,-122.336718563857,47.5744335166959
35,-122.34868892573802,47.7732053735194
36,-122.283370225182,47.6123019376067
38,-122.308029646369,47.586353888831205
39,-122.311088752356,47.6902818644827
48,-122.280866489262,47.5518888637165
49,-122.312648642573,47.7320319278491
51,-122.390768542466,47.6849937810139
53,-122.315261822895,47.7105108080011
54,-122.288308366004,47.62608540405879
56,-122.32331146928898,47.6759290507592
57,-122.323289357926,47.6759850901452
66,-122.354187545529,47.7341458574424
71,-122.283790177439,47.5617430625908
74,-122.277182464304,47.6369972636245
77,-122.320746364327,47.6242060847103
78,-122.320726400615,47.6242049806258
80,-122.36669562866298,47.7647369720103
81,-122.3666748999248,47.76444307191054
85,-122.259262193075,47.51684193887
86,-122.26204526270702,47.67493203913569
87,-122.32413796023802,47.6589022117601
90,-122.336406312772,47.77059434604829
91,-122.267681994924,47.5460980020708
95,-122.324530332328,47.6812718397891
96,-122.316693892936,47.5634545566124
98,-122.26804063833856,47.67592735403912
99,-122.26805163246232,47.67591745699184
101,-122.308077902678,47.63234617207829
105,-122.253299645756,47.5053026523204
108,-122.344729113673,47.6642506940134
112,-122.291569495493,47.56072324337689
114,-122.35094718899,47.75526282845019
116,-122.368689656765,47.663745619523
118,-122.2809187450558,47.54070516914138
125,-122.34582843189077,47.64943968321164
130,-122.223111981239,47.4930604704399
134,-122.3504734773864,47.7322674028188
141,-122.3234907392245,47.61968040200005
142,-122.355331138894,47.6670175060473
144,-122.31282406385527,47.61939229363082
145,-122.291058445827,47.57101655298461
148,-122.30386717298,47.6395750761105
149,-122.254829736665,47.4920389205092
151,-122.34264099153602,47.7032769139178
152,-122.283368166675,47.54381955957481
159,-122.321221937501,47.6231605394897
160,-122.265280949342,47.6866327320358
161,-122.326794710662,47.6219530422567
162,-122.345160073115,47.7268492911354
163,-122.32344583135098,47.657055041733
168,-122.317953569736,47.68021292259831
176,-122.320555573671,47.7058770802208
177,-122.320540762375,47.7053083226127
178,-122.35854985209,47.7605117320088
179,-122.321828684178,47.649986178212295
180,-122.322957710353,47.626816669409
181,-122.380079966353,47.6887708386046
188,-122.375359368595,47.6752111758093
189,-122.298848518439,47.6152601265216
191,-122.289181672762,47.6626477933155
196,-122.270216987433,47.658076128694766
198,-122.3083097582254,47.75537473622982
201,-122.307088480227,47.7048136086089
207,-122.282816240285,47.704644758045
209,-122.320219195386,47.6359025885694
211,-122.267084741456,47.5425028176665
212,-122.27223245981676,47.65805345718325
221,-122.35832151486902,47.7214765628565
222,-122.376935928791,47.667943132187
224,-122.360870888575,47.7068859946634
225,-122.306430264421,47.54102204699981
230,-122.398402170088,47.690533972487096
235,-122.275316494772,47.5512434675241
236,-122.31372503584856,47.67556144028169
246,-122.326609851152,47.6822421445785
247,-122.398297538698,47.6751053165112
248,-122.398305534715,47.67480266308231
251,-122.379026638307,47.6723231705738
253,-122.325468894927,47.61126909051795
254,-122.31261574694356,47.72930152901083
255,-122.301663050633,47.5731242568609
257,-122.325520676233,47.6656596890214
262,-122.358795345988,47.744978084212
266,-122.324076829739,47.7594954441473
268,-122.279513847058,47.5569954992935
273,-122.334998335676,47.5959649552002
274,-122.289358907455,47.71912049090779
276,-122.295947564283,47.692330964517
284,-122.343424547919,47.7069220722122
285,-122.25614206294,47.4956190276892
286,-122.310628231829,47.6244062610723
288,-122.267341024162,47.5354996033154
290,-122.282779048183,47.566197428422
293,-122.336848660399,47.68567705075261
294,-122.336480627906,47.685583529907
297,-122.3041208473268,47.69228253226542
298,-122.304130610637,47.6920592875264
299,-122.355436106712,47.6788452457101
300,-122.35543993178152,47.678856762256
303,-122.36393374898,47.7755925314464
305,-122.375456341389,47.6868362020954
315,-122.29212782367613,47.71860942519967
318,-122.267786860731,47.49920391510741
320,-122.307463605642,47.61847228022
330,-122.30655465039,47.6693941319924
331,-122.357981658435,47.7632858508919
341,-122.320055760383,47.6766964690458
348,-122.320364331633,47.6931658295844
350,-122.25467667716698,47.50657842355989
358,-122.321520039872,47.6852702429452
365,-122.342626261204,47.6490009365447
369,-122.278005641646,47.6553892335078
371,-122.326532218869,47.639735626260496
372,-122.326524539707,47.6399802452855
374,-122.297471780664,47.6776285631687
375,-122.312335626888,47.77335620546361
376,-122.30001135692,47.6042872277171
380,-122.300237707342,47.5787837595216
385,-122.35007537698,47.700113455188806
387,-122.277617410654,47.5570032932771
388,-122.327057436341,47.5883270327536
391,-122.324095014852,47.62340151779549
393,-122.276377553537,47.6834368179359
394,-122.373730018751,47.6632135629285
395,-122.373728939517,47.662829424560606
397,-122.26826698233,47.5379223016486
398,-122.330186840981,47.6556335806353
401,-122.254356401038,47.4964319411528
402,-122.31422558609,47.5634618190463
405,-122.384810383359,47.6746006805002
406,-122.328422897506,47.6397373382902
407,-122.3425150769654,47.6512748450222
408,-122.326508123137,47.6270376156666
411,-122.35529015972,47.6704213754055
414,-122.275322190003,47.5518469090004
415,-122.302022501528,47.74328642969309
422,-122.31992961348747,47.6062857109356
424,-122.26134818535,47.4879344654072
425,-122.31282081762,47.6160969510973
426,-122.311598803587,47.6084578753186
428,-122.266395932275,47.6757823293525
429,-122.303446224514,47.64312361571441
433,-122.32034308665,47.701276906840896
435,-122.3532655196228,47.66025665220338
437,-122.312123212298,47.5768193417486
447,-122.315031315044,47.686755547594
449,-122.340043344839,47.68480486280381
451,-122.305953574317,47.6331601936173
453,-122.317524560732,47.6940649264374
454,-122.2942024970874,47.70117885279472
457,-122.356243781336,47.7251159118424
458,-122.3476055134318,47.726506317506136
459,-122.3167773446296,47.67409905372754
464,-122.33396195158171,47.70970783213063
469,-122.31330304227,47.7541209370587
470,-122.326152974682,47.6763200879626
475,-122.288756356257,47.558708799089096
476,-122.319625621374,47.61909085793909
478,-122.39298110127169,47.69525477686256
479,-122.27723843051425,47.63851868635867
481,-122.337568717817,47.7013669526534
483,-122.260636673761,47.5203850160078
486,-122.279419385596,47.5641457363819
488,-122.300954287207,47.548590121754806
492,-122.32014794675,47.6384481406603
497,-122.318398081774,47.6772538853105
499,-122.285655614015,47.7328486934847
500,-122.368653001977,47.6960232028002
501,-122.32472053747,47.647009371576
508,-122.336648345407,47.5736571015378
510,-122.269978373023,47.5425101036154
511,-122.3472994619112,47.6897933649468
512,-122.2830123342768,47.72013928138038
537,-122.276702872756,47.65827761790365
539,-122.298881635684,47.6243431627573
541,-122.352706985667,47.7559520037909
543,-122.27381933180568,47.6573681038243
551,-122.345294124709,47.70138530756359
558,-122.334321568861,47.5904617357938
560,-122.318723109905,47.7631203230499
566,-122.291661141757,47.6829996148504
567,-122.243668091246,47.4968321812215
568,-122.342367484517,47.7240238423394
574,-122.288809019439,47.5716189329925
576,-122.2730362561615,47.6606585238615
579,-122.353636252278,47.7359883498308
580,-122.3531315660394,47.73599201901336
582,-122.305556459957,47.6958285595982
589,-122.378948009046,47.672324472191896
591,-122.313545979844,47.7630624342491
592,-122.29199679212614,47.58484554435779
596,-122.306573265973,47.666435789376
597,-122.26237182082302,47.55105807347329
600,-122.372114170534,47.66638572387459
603,-122.312874928279,47.733500368065
610,-122.37812750994952,47.669379833346056
611,-122.37710313375798,47.66936166154319
615,-122.337287046426,47.7414852407083
618,-122.363409276001,47.6935700924221
622,-122.29068652067072,47.69456658189978
630,-122.3789536809276,47.66980863953512
632,-122.378147611549,47.6693787732343
633,-122.298658717492,47.6202388341729
634,-122.325196846809,47.6812127220972
636,-122.340489519807,47.7705802887164
637,-122.369912186016,47.6795125397751
641,-122.346110814233,47.7674443347908
642,-122.28082331036,47.5534530449364
647,-122.295248311398,47.624197700324
648,-122.287636954508,47.5461239900711
649,-122.286834672535,47.5461139383722
650,-122.28487265692802,47.5617092654268
652,-122.3276107892705,47.703235005355246
661,-122.34729154185,47.688347736951
665,-122.363093660929,47.7705733796489
666,-122.2478824254,47.48840500470519
667,-122.267065707384,47.5443031130467
670,-122.28806462793202,47.661082899982055
675,-122.311509430618,47.5991315310879
676,-122.311505809062,47.5988237423911
677,-122.280765411924,47.5581943171572
678,-122.319986649003,47.6759223556306
679,-122.289902388144,47.5706770998859
683,-122.283505663741,47.55129192328851
684,-122.279286816817,47.6577288816198
685,-122.2792718983685,47.6577197778781
686,-122.319459610648,47.6040250611942
687,-122.358565479091,47.7576828106164
688,-122.358552355537,47.757489733537
693,-122.282631408084,47.6974000830643
697,-122.29889081851998,47.6062060675854
698,-122.311502055539,47.598375704081
699,-122.277523374246,47.523246336007
701,-122.283167260977,47.71204978629895
703,-122.279203994183,47.6333196467564
704,-122.278606153727,47.6333127526619
705,-122.298801894992,47.5967109816095
706,-122.299504294063,47.6679465927163
709,-122.37552263601,47.6917423698562
710,-122.3312960741374,47.710912962945855
715,-122.29137451856,47.5966779069289
718,-122.299925624941,47.6202516863283
725,-122.28125165889774,47.6571655282371
726,-122.2828310133702,47.657039828014405
732,-122.320527553892,47.704864959603
737,-122.360893415751,47.7097367004262
738,-122.34766755444498,47.72962891787571
745,-122.321991099121,47.6057323569114
748,-122.331392696752,47.7151479193377
755,-122.3239879538954,47.71220184529894
756,-122.357712360567,47.7251036161791
757,-122.338617671459,47.6532051549199
764,-122.312125620523,47.6175736324223
768,-122.311608582207,47.6091505155435
770,-122.278557405772,47.6522108043483
771,-122.31539358905802,47.64241359796
772,-122.393447045102,47.697894056490405
774,-122.30224904268398,47.5750434796657
777,-122.316167005669,47.7550704789204
778,-122.355351871356,47.66435492429181
781,-122.315362753071,47.6125622572175
785,-122.350572190796,47.65149046700011
788,-122.324026446473,47.6471659033211
789,-122.323483228685,47.6469789893196
790,-122.355547238086,47.7014170851263
791,-122.338150228445,47.5717521110886
795,-122.35028405967,47.7122928835172
802,-122.29624714771413,47.72193243140313
805,-122.30045470056102,47.582985167412495
812,-122.34422479775318,47.75336127419187
816,-122.3652367730692,47.763336336256046
819,-122.395759308861,47.678774718892406
821,-122.32436313493,47.7661423885753
822,-122.324369681355,47.76586937746939
823,-122.36392269398398,47.66042474566459
824,-122.363927937565,47.660839734782
827,-122.326534750839,47.62551418531191
828,-122.326525931297,47.6251442537092
830,-122.30155646897,47.5844579515321
838,-122.326499780095,47.7428191119845
841,-122.264325313936,47.67286271116749
842,-122.378431964643,47.6989416830368
843,-122.345185824044,47.7287093602182
849,-122.363920738579,47.6600895272252
853,-122.31670766168,47.6219343668254
854,-122.295911997231,47.6956340871975
855,-122.373731237671,47.6663796014686
856,-122.36073553464,47.7050798144526
857,-122.355570985474,47.7035967098868
858,-122.277371857343,47.5424958621625
861,-122.2380914134,47.5014432521258
863,-122.266605191773,47.5328509006151
867,-122.320594357598,47.65072151791559
868,-122.320446989158,47.7012756445604
869,-122.296189598964,47.5709392976755
871,-122.329455072386,47.7595401339672
873,-122.325249295035,47.63452051674741
875,-122.365031600493,47.7017792014951
881,-122.290825869292,47.704744183742
884,-122.298484819392,47.71199125156802
885,-122.259296349707,47.51013098515781
897,-122.295994206842,47.5662945175039
899,-122.325482430875,47.6685676158046
907,-122.392970795994,47.6967057130402
908,-122.363217729364,47.6650691215499
910,-122.340734072658,47.6606007078555
911,-122.323572081891,47.6231667242769
913,-122.3321068523525,47.70950760667605
919,-122.32126765441224,47.63697752530312
924,-122.320778220776,47.6551219632108
929,-122.31419320660298,47.5634974064961
931,-122.39820648840198,47.6701619736871
932,-122.317296281483,47.6001070806065
934,-122.370465264109,47.7051352566493
936,-122.358611532415,47.7605257803036
939,-122.371489107782,47.7613883655746
941,-122.325856102175,47.6117044268757
944,-122.373718154018,47.6708359840687
945,-122.332577990847,47.65316866557439
947,-122.345315737155,47.7356783922532
950,-122.310070515929,47.615556957595096
951,-122.373452672123,47.6637610018647
953,-122.324378841755,47.767233375546
