strategy,mean_communities,std_communities,min_communities,max_communities,mean_modularity,std_modularity
BC,62.8,1.98997487421324,59,66,0.9544882977805967,0.0003255231798575295
DC,66.0,1.9493588689617927,63,70,0.9545025940403352,0.00043266237341385116
