network,baseline_num_communities,linked_bc_num_communities,delta_num_communities,baseline_modularity,linked_bc_modularity,delta_modularity,num_nodes_removed,removed_node_ids_json,num_components,component_sizes_json,num_nontrivial_communities,community_sizes_json
transport,60,61,1,0.954416,0.954394,-2.2e-05,1,[15619],1,[21196],61,"[815, 637, 614, 598, 590, 576, 562, 511, 493, 459, 454, 443, 440, 429, 410, 407, 403, 401, 392, 384, 378, 371, 371, 366, 362, 358, 351, 350, 349, 348, 346, 343, 342, 339, 334, 333, 323, 314, 307, 300, 279, 279, 278, 266, 264, 257, 242, 238, 235, 234, 217, 214, 211, 203, 188, 154, 135, 135, 131, 87, 46]"
power,115,121,6,0.977951,0.977555,-0.000395,1,[10622],3,"[9522, 6567, 1]",120,"[266, 263, 249, 243, 242, 234, 232, 228, 225, 223, 212, 206, 192, 186, 181, 179, 179, 178, 177, 177, 174, 173, 173, 170, 170, 169, 165, 164, 161, 160, 160, 156, 156, 153, 152, 151, 148, 147, 146, 146, 146, 143, 142, 141, 141, 139, 137, 136, 136, 135, 134, 134, 133, 131, 130, 129, 127, 127, 126, 125, 122, 121, 121, 121, 120, 120, 119, 118, 117, 117, 116, 116, 115, 115, 115, 113, 113, 113, 112, 110, 109, 109, 108, 108, 107, 106, 106, 106, 105, 105, 104, 99, 99, 99, 98, 96, 95, 94, 94, 94, 93, 91, 90, 90, 90, 88, 87, 87, 86, 86, 84, 82, 81, 73, 64, 62, 58, 58, 55, 51, 1]"
