node_id,community_id
15363,0
16389,0
16390,0
15369,0
10256,0
19476,0
6164,0
18453,0
17440,0
7202,0
12322,0
17444,0
16430,0
16431,0
5181,0
5182,0
12353,0
17479,0
3145,0
3146,0
9292,0
9293,0
14412,0
1107,0
1108,0
6232,0
6233,0
18522,0
7259,0
18524,0
10335,0
5217,0
9316,0
9317,0
4208,0
7290,0
7291,0
2174,0
2175,0
4224,0
4225,0
5248,0
6276,0
18569,0
3215,0
3216,0
6289,0
11410,0
16532,0
4251,0
4252,0
6301,0
11423,0
19635,0
19636,0
10420,0
5304,0
5305,0
6329,0
12482,0
1220,0
1221,0
198,0
199,0
10446,0
2259,0
2260,0
9438,0
17633,0
14564,0
11495,0
3306,0
3307,0
13556,0
6389,0
6390,0
4351,0
4352,0
8449,0
277,0
278,0
9506,0
9507,0
9509,0
13605,0
2353,0
9521,0
17716,0
11573,0
16698,0
14659,0
17732,0
14660,0
17733,0
17731,0
12637,0
6496,0
7521,0
4450,0
4451,0
7530,0
13675,0
17776,0
6513,0
7539,0
1396,0
1397,0
15744,0
7556,0
12681,0
11665,0
8594,0
11667,0
409,0
9626,0
1436,0
1437,0
8604,0
15781,0
5555,0
5554,0
10678,0
7610,0
7611,0
10685,0
10686,0
1468,0
1469,0
12740,0
6598,0
2506,0
2507,0
11730,0
8658,0
8659,0
4570,0
9691,0
4571,0
6631,0
6632,0
8679,0
8680,0
2538,0
2539,0
9712,0
13811,0
11763,0
11764,0
5624,0
5644,0
1550,0
1551,0
2577,0
9751,0
17943,0
1562,0
1563,0
18980,0
13861,0
18987,0
10802,0
2612,0
11830,0
8759,0
8758,0
2617,0
2618,0
6715,0
17983,0
4691,0
2644,0
2645,0
4692,0
11861,0
19039,0
19040,0
12900,0
14949,0
18023,0
18024,0
9835,0
6764,0
21101,0
21103,0
21108,0
21111,0
634,0
635,0
17020,0
3715,0
20102,0
20103,0
14985,0
4746,0
9874,0
9875,0
2714,0
5786,0
18076,0
19110,0
10918,0
17063,0
7848,0
7849,0
20152,0
20153,0
8888,0
20155,0
20156,0
20157,0
6844,0
20166,0
20167,0
711,0
712,0
20170,0
21194,0
8906,0
20173,0
18123,0
18124,0
4821,0
10972,0
15072,0
15073,0
14055,0
13043,0
17155,0
17156,0
14089,0
13066,0
15116,0
13069,0
15117,0
15118,0
13077,0
17174,0
13078,0
14103,0
4891,0
10015,0
5920,0
13091,0
18212,0
18213,0
18214,0
15140,0
18218,0
17196,0
17199,0
9010,0
4918,0
17207,0
17208,0
4919,0
17210,0
14139,0
17211,0
5948,0
5949,0
17215,0
13126,0
13133,0
13134,0
853,0
6998,0
6999,0
