node_id,community_id
10241,1
7171,1
5124,1
7172,1
14344,1
7178,1
5136,1
5137,1
6162,1
16403,1
2074,1
10271,1
10272,1
4129,1
4130,1
15391,1
15395,1
4133,1
4134,1
6183,1
6184,1
15396,1
14380,1
8236,1
16429,1
50,1
51,1
10292,1
6206,1
7238,1
7239,1
3143,1
3144,1
9290,1
9291,1
4180,1
16473,1
8282,1
14428,1
8290,1
13414,1
2150,1
2151,1
17512,1
17513,1
17520,1
6258,1
5234,1
5235,1
17525,1
4213,1
13428,1
19574,1
19576,1
19577,1
17535,1
14464,1
14465,1
3201,1
3202,1
16516,1
19589,1
19590,1
12428,1
10380,1
1165,1
1164,1
10381,1
6286,1
17555,1
12436,1
17557,1
10391,1
8345,1
11428,1
13484,1
7342,1
16564,1
11447,1
12472,1
5309,1
10441,1
16586,1
3276,1
3277,1
208,1
209,1
4311,1
4312,1
5342,1
6367,1
7397,1
7398,1
231,1
232,1
5356,1
11501,1
7407,1
7408,1
12530,1
9471,1
15617,1
15618,1
15619,1
3333,1
3334,1
264,1
9481,1
11533,1
11534,1
9487,1
4373,1
4374,1
4375,1
4376,1
3357,1
286,1
287,1
2336,1
2337,1
17700,1
15652,1
3381,1
16694,1
15671,1
16699,1
11579,1
10557,1
10558,1
11580,1
16704,1
20803,1
16711,1
6472,1
6473,1
7499,1
7500,1
16716,1
16718,1
13656,1
9561,1
9562,1
10585,1
11611,1
11612,1
16732,1
11614,1
352,1
353,1
10596,1
5477,1
14694,1
16743,1
6504,1
2409,1
2410,1
6505,1
4453,1
4454,1
13678,1
13679,1
1394,1
1395,1
20850,1
11639,1
16762,1
16763,1
11643,1
11657,1
16779,1
12686,1
16786,1
6546,1
406,1
407,1
11672,1
11673,1
10651,1
14748,1
10652,1
13724,1
12705,1
9647,1
9648,1
12720,1
12719,1
3507,1
14772,1
3508,1
6584,1
10681,1
10682,1
12731,1
7612,1
6593,1
6594,1
11726,1
16855,1
14809,1
13788,1
16860,1
16861,1
15842,1
5603,1
5604,1
9698,1
1512,1
1513,1
13800,1
8681,1
15851,1
15852,1
498,1
499,1
6644,1
16894,1
3584,1
16899,1
17926,1
1543,1
1544,1
14863,1
6672,1
7695,1
7696,1
15893,1
11805,1
18975,1
1568,1
1569,1
7713,1
16933,1
16934,1
9768,1
10792,1
11816,1
11817,1
8750,1
14901,1
13883,1
16955,1
16957,1
11836,1
5696,1
5697,1
19013,1
9797,1
9798,1
12874,1
16975,1
6737,1
1617,1
16984,1
11865,1
610,1
16995,1
611,1
4709,1
4710,1
17003,1
2667,1
2668,1
1649,1
1650,1
1651,1
8821,1
5751,1
632,1
633,1
5752,1
5753,1
9853,1
4735,1
13951,1
8834,1
11908,1
11909,1
9868,1
11918,1
11919,1
7823,1
7824,1
14994,1
7827,1
7828,1
11927,1
11928,1
17047,1
9883,1
