Source,Target,Weight
16390.0,17007.0,1.0
32776.0,2632.0,1.0
24588.0,21373.0,1.0
24588.0,21764.0,1.0
24588.0,24589.0,1.0
24588.0,29128.0,1.0
16412.0,11097.0,1.0
16412.0,21580.0,1.0
16412.0,20373.0,1.0
16412.0,22203.0,1.0
16415.0,24995.0,1.0
8232.0,16798.0,1.0
48.0,3071.0,1.0
48.0,4283.0,1.0
48.0,3258.0,1.0
16435.0,8921.0,1.0
24632.0,6841.0,1.0
24632.0,14937.0,1.0
24632.0,30891.0,1.0
16442.0,6842.0,1.0
16442.0,15764.0,1.0
16442.0,16443.0,1.0
16442.0,30924.0,1.0
24635.0,14107.0,1.0
24635.0,16891.0,1.0
24635.0,17642.0,1.0
8254.0,37070.0,1.0
8254.0,17784.0,1.0
8254.0,17674.0,1.0
32831.0,25011.0,1.0
85.0,2831.0,1.0
85.0,16642.0,1.0
85.0,10195.0,1.0
32854.0,3736.0,1.0
32856.0,11401.0,1.0
91.0,3075.0,1.0
91.0,10266.0,1.0
91.0,12543.0,1.0
16478.0,15294.0,1.0
16478.0,18209.0,1.0
16478.0,17579.0,1.0
96.0,10353.0,1.0
96.0,6857.0,1.0
96.0,3635.0,1.0
96.0,30149.0,1.0
16488.0,34149.0,1.0
16488.0,7171.0,1.0
16488.0,22334.0,1.0
105.0,5467.0,1.0
105.0,23468.0,1.0
32879.0,13694.0,1.0
24693.0,10471.0,1.0
16526.0,3483.0,1.0
16526.0,24086.0,1.0
16526.0,23885.0,1.0
8339.0,8340.0,1.0
8339.0,14995.0,1.0
8339.0,20640.0,1.0
8340.0,7280.0,1.0
8340.0,7590.0,1.0
16536.0,9262.0,1.0
16536.0,16537.0,1.0
16536.0,20697.0,1.0
16537.0,15559.0,1.0
16537.0,30436.0,1.0
152.0,5640.0,1.0
152.0,13691.0,1.0
8358.0,1412.0,1.0
8358.0,2631.0,1.0
8358.0,12789.0,1.0
170.0,1826.0,1.0
24758.0,21758.0,1.0
16574.0,25238.0,1.0
16574.0,20421.0,1.0
16574.0,28736.0,1.0
195.0,1682.0,1.0
8390.0,2188.0,1.0
8390.0,2231.0,1.0
8390.0,23478.0,1.0
8392.0,8871.0,1.0
24779.0,6493.0,1.0
32976.0,2843.0,1.0
16592.0,1220.0,1.0
211.0,4576.0,1.0
211.0,17531.0,1.0
