node_id,community_id,longitude,latitude
198,0,1285276.7859849,187535.758260086
199,0,1285303.72755294,187534.997108072
277,0,1286694.78873836,184059.089008525
278,0,1287499.01971518,183045.515247479
409,0,1286707.00787437,190644.988919258
634,0,1289169.1262769,187102.230259642
635,0,1289324.94458105,187212.033203751
711,0,1287362.97241904,190519.102327138
712,0,1287354.54592304,190180.636150792
853,0,1289223.68883695,187355.14936389
854,0,1289469.5810612,187527.238900065
962,0,1288859.49997258,189174.885557756
963,0,1288846.83693257,188626.018869191
964,0,1290153.31232589,186903.120755434
998,0,1285947.29286559,187031.915443569
999,0,1286609.27411427,187010.819315538
1020,0,1288266.68128397,188702.694901273
1021,0,1288452.77536416,188498.908917069
1107,0,1287914.08089961,186400.708658919
1108,0,1287905.3168036,186128.838514641
1220,0,1287379.74080306,191213.027831852
1221,0,1287681.06790736,191203.205623835
1396,0,1285959.78822561,187466.568436012
1397,0,1286536.0695702,187448.062259987
1436,0,1288237.00448394,182746.652655169
1437,0,1288971.88064469,182738.834479168
1468,0,1286053.0961297,191828.328440472
1469,0,1286063.67648171,191293.492535934
1550,0,1290037.15213378,189696.801526293
1551,0,1290023.36051777,189158.74450174
1562,0,1287503.22118719,187891.084980443
1563,0,1287954.00275564,187880.082996428
2174,0,1288716.06976444,184052.228464514
2175,0,1289158.54003689,184050.231088504
2259,0,1287817.43117151,183395.91582384697
2260,0,1287801.6175395,182905.885615334
2353,0,1290743.22093451,189838.26219843296
2506,0,1285687.76780933,186075.363890588
2507,0,1285874.02169752,185912.411442414
2538,0,1288011.68736371,190166.159158766
2539,0,1288005.1831077,189912.302390516
2577,0,1288038.00288373,191193.347383827
2612,0,1290442.45907819,187649.373492196
2617,0,1287953.19142765,192183.204344839
2618,0,1288234.04025994,192421.387577087
2644,0,1288113.22848381,182385.294126809
2645,0,1288737.86010045,182363.604526788
2714,0,1289514.39168525,190793.716983423
2715,0,1289631.67296536,190893.098999515
2980,0,1289766.62938151,190068.964150667
3145,0,1288893.69408461,190504.521015123
3146,0,1288877.80602059,189889.304758489
3215,0,1285651.86067329,184966.513393447
3216,0,1285848.86489749,184894.555889368
3306,0,1286382.77459404,192618.607673287
3307,0,1286647.69958632,192611.00466527
3715,0,1287685.96883537,183396.009967834
4080,0,1287893.26566759,182750.365295187
4208,0,1288233.02611594,188446.608117014
4224,0,1287891.83193958,185709.012594208
4225,0,1287858.95238756,184684.960177153
4251,0,1285922.82732956,186205.233714715
4252,0,1286556.05574621,185667.82168217
4351,0,1286663.46694633,188882.798517466
4352,0,1286654.16608232,188558.963253126
4442,0,1289249.89382897,191741.214392379
4450,0,1288465.52141218,186999.34859553
4451,0,1288459.18707617,186745.918323278
4570,0,1286635.5995543,187911.786036462
4571,0,1287054.11577873,187901.801140457
4691,0,1289352.46253309,186638.440499157
4692,0,1290057.3610938,186671.844979197
4746,0,1287950.93683565,192755.26719342204
4821,0,1288234.65805194,187883.201460436
4891,0,1289692.23219743,187582.72171612096
4918,0,1286932.6055066,192603.505337268
4919,0,1287217.5101469,192596.006969258
4958,0,1287986.60179569,189186.992821768
4959,0,1288154.36717185,189185.579765767
5037,0,1290292.21299805,187654.152692199
5048,0,1290114.17786185,186530.644147053
5049,0,1290419.91712618,186537.927603051
5181,0,1289992.48915774,187943.937588498
5182,0,1290283.76122203,187936.57899649403
5217,0,1287968.91641967,188453.596661016
5248,0,1288586.93190829,189896.971382499
5304,0,1287620.0792353,184384.816752851
5305,0,1287842.48953953,184189.713136658
5554,0,1286734.7141784,191809.840248451
5555,0,1286892.99603456,191805.60140045
5624,0,1287393.72038707,191791.521080434
5644,0,1288020.94585972,190527.567223147
5785,0,1289168.6801329,189881.639414489
5786,0,1289459.55418119,189873.973046467
5920,0,1288204.01632391,185109.678769588
5948,0,1287338.33203502,189521.127670109
5949,0,1287330.24838701,189196.65355777703
6005,0,1288907.25184463,191029.51141566
6022,0,1285935.55929758,186635.094387159
6023,0,1286598.10912226,186609.924467131
6099,0,1288051.77389175,184686.869937167
6164,0,1286391.66201805,192918.476153597
6232,0,1289732.39552547,189162.778613746
6233,0,1289719.16128546,188602.398197174
6276,0,1288296.05818,189904.637366503
6289,0,1287042.59347472,187451.074995995
6301,0,1288211.07968391,184565.265841037
6329,0,1287942.17664364,187430.18923597
6389,0,1289178.8789169,184696.706865177
6390,0,1289171.4963889,184565.453489035
6496,0,1288568.53370027,189178.920949757
6513,0,1288116.97587581,192795.344505459
6598,0,1286094.59769775,192926.686457604
6631,0,1288269.27379598,183806.040304258
6632,0,1288249.54579595,183158.375599593
6715,0,1287349.99801902,189996.729718596
6764,0,1285264.77222489,186233.073522747
6844,0,1287536.69421121,189193.43474178
6941,0,1289757.0004535,190999.300855622
6998,0,1288668.89664438,185332.735729828
6999,0,1288660.73363638,185078.175921559
7043,0,1286625.29773028,191812.815672457
7076,0,1288052.86374775,191773.425976425
7077,0,1288329.58534804,191740.55826439
7136,0,1289167.02950889,184305.76305677
7156,0,1288227.64691593,187236.110259771
7157,0,1288497.25491621,187245.440243781
7159,0,1286060.38905771,185418.560369909
7160,0,1286162.43449782,185416.481009915
7202,0,1287019.74086669,186593.43301111495
7259,0,1288311.82586001,190519.900919139
7290,0,1287393.21222708,189952.819702551
7291,0,1287779.84006748,189945.281974554
7521,0,1287524.13779521,188660.748469234
7530,0,1286340.401986,191820.53906446704
7539,0,1287838.71718752,184055.475504518
7556,0,1289303.61030903,190615.104119226
7610,0,1288328.88717203,191185.68107982
7611,0,1288619.85965233,191177.989815816
7848,0,1290256.87085401,189488.549942076
7849,0,1290468.66272622,189668.020726264
8115,0,1289150.46394087,189170.850101754
8116,0,1289441.42957318,189166.813749745
8123,0,1287974.31437168,188649.285877213
8449,0,1289182.83098091,184825.31224130103
8594,0,1287196.20013086,186156.164914668
8604,0,1290300.94586205,188586.68005316
8658,0,1287040.89465871,191171.775287807
8659,0,1289428.45485316,188610.395189181
8679,0,1288714.55238843,187893.042292446
8680,0,1288826.97472455,187895.065908447
8758,0,1287492.33273917,187440.633139983
8759,0,1287480.41869116,186987.761651516
8888,0,1290010.05702975,188594.53861317
8906,0,1287936.82989164,187226.78443576404
9010,0,1288060.66425976,192056.788280711
9061,0,1286696.45408235,184725.081137195
9062,0,1287237.94253092,184719.120817199
9105,0,1285865.14009751,185553.031282052
9292,0,1287096.02253076,185195.407601684
9293,0,1287504.24902719,184838.245297313
9316,0,1287782.40070747,192385.113721043
9317,0,1287765.60185945,191782.385272428
9438,0,1287695.30611539,191783.09196043
9506,0,1287515.1479712,192699.288313374
9507,0,1287502.72576319,192588.499449253
9509,0,1287537.75750722,185722.85310623
9521,0,1289517.99008524,186792.796147317
9626,0,1287088.02873877,189199.858933777
9691,0,1287182.15782686,185794.05080229
9711,0,1283646.18623924,186917.860531449
9712,0,1284393.690624,186104.126962617
9751,0,1287477.22125116,182337.680366755
9835,0,1288242.29088394,182920.182511359
9874,0,1287469.58310716,186575.89137910295
9875,0,1287649.47021134,186569.980659097
10015,0,1288508.31334822,187888.830708444
10256,0,1287633.44563532,192561.207225233
10335,0,1288807.26874052,187254.609523788
