node_id,community_id,longitude,latitude
235,0,1272200.78821152,187765.71877232203
236,0,1272198.48241952,187517.871476054
265,0,1270620.42289791,190763.84069538105
300,0,1267564.49860677,189777.556278378
301,0,1267575.54942279,189001.198901579
485,0,1265888.71089305,189775.082166374
486,0,1265721.55114888,189773.390262365
523,0,1268606.11627184,187801.835508347
524,0,1268605.95351984,187635.203572184
529,0,1270502.32670578,190121.404342726
530,0,1270537.62385781,189764.57829436695
531,0,1267877.01931109,190436.520183057
532,0,1267904.10718311,189778.89714238
651,0,1268593.18615982,189782.072630376
652,0,1268262.18878348,189780.61925438
709,0,1269571.68286483,186146.271218657
710,0,1268244.96145546,186142.112754658
770,0,1271005.79781029,187333.955187872
771,0,1270986.61150627,187103.556019634
1141,0,1265884.45175704,190432.730807051
1723,0,1267266.56247847,189001.200565577
1773,0,1268942.17233618,187804.383028358
1774,0,1268940.86852817,187637.23243618
1960,0,1266904.07307009,188454.217397019
1969,0,1266514.28676569,191094.30527173
1970,0,1266532.12663771,190436.300983056
2209,0,1270339.0409456,190778.508983403
2253,0,1266213.65316539,189775.097590372
2254,0,1266255.90935743,189112.14878968903
2479,0,1269277.05156852,187806.969332352
2692,0,1266569.37623775,189112.906037688
3070,0,1269658.20075291,189786.747510388
3071,0,1269976.74475324,189778.71704638
3131,0,1270217.48081748,190591.386999205
4013,0,1270261.23659353,188068.336884618
4014,0,1270566.83998585,188232.135156795
4486,0,1267431.54148664,193016.371001691
4487,0,1267421.00900662,192349.965497017
4629,0,1269589.38001685,190436.845303044
4630,0,1269902.70520116,190428.911927044
4915,0,1269369.56126462,189137.358069718
4916,0,1269346.53764859,188466.198005036
4990,0,1271049.16779433,188506.654261068
5033,0,1268550.82142378,190436.64843905
5034,0,1268220.22033544,190436.585783049
5068,0,1265942.35614111,189111.349237695
5091,0,1268516.52753575,190966.512247592
5160,0,1266538.73092572,189773.777398378
5237,0,1269211.99460846,190436.773111045
5238,0,1269255.20222451,189784.978166386
5312,0,1271151.84472245,187779.299764335
5366,0,1271411.86949071,187087.903859615
5367,0,1270231.28427351,187129.731507659
5368,0,1270542.40139382,187118.709555656
5483,0,1267190.60855839,190436.391543046
5484,0,1266847.40747003,190436.327287048
5812,0,1265847.91671701,192394.525753051
5813,0,1265852.81796502,192135.367160797
6010,0,1269580.92433684,186481.323698997
6011,0,1268252.60971147,186471.60126699496
6270,0,1269615.05220887,187899.171892449
6271,0,1269944.35505721,187849.415796399
6292,0,1266887.65611008,189001.368181586
6293,0,1266897.73681408,188662.096885234
6357,0,1269599.39934485,187151.10021168
6417,0,1265531.20542069,191098.181879729
7103,0,1268881.42276812,190436.710775048
7104,0,1268924.20388816,189783.525110379
7990,0,1266866.50193405,189774.493622378
7991,0,1266884.58231807,189113.712117702
8022,0,1272582.58629191,187751.318196297
8278,0,1268841.99928008,189157.091637745
8279,0,1268815.92158405,188463.145205036
8589,0,1267904.34564711,189001.338357583
8590,0,1269390.56676865,189785.572342381
8783,0,1268576.78558381,189166.881973743
8784,0,1268263.74846348,189178.37931776
8895,0,1268864.99499211,189783.265270382
9193,0,1265843.281901,188881.684021458
9268,0,1267116.95351832,193026.177401707
9269,0,1266802.36561398,193035.985145718
9358,0,1269288.35403253,188465.762933031
9397,0,1269926.02340919,187140.078259677
9398,0,1269888.64190514,185804.845042303
9892,0,1267533.80996674,190436.457207054
10107,0,1268264.40990348,189001.492533579
10129,0,1266559.39754973,189442.284982026
10456,0,1267571.73150277,188662.804533228
10647,0,1269105.69336034,189147.213365734
10648,0,1269081.07556832,188464.217013031
11016,0,1267008.7713742,189775.117942378
11248,0,1269127.80747236,189784.418806389
11566,0,1266216.37105338,190439.071671054
11750,0,1268606.76292783,188462.296117023
12132,0,1269266.91384052,187147.310899675
12325,0,1272408.16312373,187055.85176359105
12541,0,1269073.45195231,193760.59749844705
12542,0,1268978.88324822,193151.064313829
12793,0,1270679.07800196,190118.302966729
13320,0,1266820.57291001,191366.442552
13321,0,1266828.31268601,191098.160887733
13722,0,1267256.88734245,189496.261878088
13813,0,1267746.24983895,193006.560313687
13814,0,1267735.78692694,192341.048824996
13819,0,1266801.97943799,192010.915320665
13838,0,1269644.0538089,189112.991989702
13915,0,1266697.73354988,193039.247225717
13920,0,1270779.82123406,190285.706166893
13927,0,1268269.26225549,187800.790516347
13988,0,1268545.24433577,193207.447033882
14218,0,1268266.59070349,188460.982773021
14219,0,1267572.41489477,188458.18552503
14308,0,1272194.85969952,187062.384499595
14375,0,1272217.40657954,189028.485941604
14391,0,1270937.08369823,190020.736246631
14395,0,1269616.03812887,187982.973876536
14482,0,1271360.05989066,186618.778483137
14483,0,1271336.72069064,185772.287026271
14490,0,1266487.75562967,193045.794489726
14519,0,1270538.04017781,185790.414962292
14647,0,1268947.84913619,188463.625525028
14691,0,1271005.1672183,190450.925623059
14786,0,1265887.02788505,191096.80229573
14795,0,1270438.33438571,191288.50962393
14893,0,1268895.00510412,187144.70296368
14894,0,1268270.94667149,187142.190771684
15049,0,1266162.66052534,192385.621241048
15066,0,1266165.82615733,192223.516920879
15076,0,1269076.48734432,184813.378225297
15097,0,1266476.97681366,192376.622905031
15136,0,1267293.12119849,192041.239736691
15137,0,1267362.83294256,191974.815672621
15138,0,1267578.27806279,191369.758136004
15139,0,1267156.57553436,192006.052792653
15166,0,1268235.19735946,185804.738418311
15167,0,1268228.14782345,185535.162866026
15482,0,1266189.94225337,191996.005240649
15483,0,1266537.91108572,191443.099832088
15485,0,1266543.80606173,192007.729656667
15486,0,1266311.46334149,192004.508152649
15490,0,1267535.72830275,191011.283767641
15497,0,1268472.16343971,191091.009015724
15498,0,1268308.13124754,191092.009975716
15517,0,1268182.4051674,191071.385399699
15518,0,1266651.11127783,192010.168248668
15519,0,1266669.47146985,191406.051064044
15523,0,1266300.56964548,191504.872056141
15565,0,1267078.88145427,192004.017336652
15566,0,1267107.7891663,191202.86571984
15584,0,1266202.30903737,191528.196472168
15985,0,1266922.90078211,192009.68498465404
16024,0,1267541.86276674,191935.851192579
16025,0,1268501.55838373,191408.275448039
16178,0,1268089.7442393,186145.699058652
16231,0,1268095.93943931,192789.28351345696
16232,0,1268091.3941593,192537.8506172
16233,0,1268276.06865549,192788.16671346096
16246,0,1268121.56113534,194331.863739043
16247,0,1268097.80689532,192991.548857659
16456,0,1268099.03230332,192330.761464983
16910,0,1269441.77438469,194146.860538855
16960,0,1267106.3489103,192358.876921013
16961,0,1266791.68580598,192367.687225029
17450,0,1268091.38398331,187373.764787912
17451,0,1267810.60900702,187373.356979907
17462,0,1268629.93508786,186773.0855553
17464,0,1268109.06148733,187013.949939549
17465,0,1267877.46839909,186981.983475506
17471,0,1268126.96139134,187247.502259791
17472,0,1267830.04331104,187249.380211785
17478,0,1268257.27838348,186678.491955206
17498,0,1268796.25336003,186773.0855553
17659,0,1269168.79524842,191088.431927711
17689,0,1267207.2128464,189995.870774597
17697,0,1267089.66097428,187795.656692341
17708,0,1268552.17867178,188462.092341036
17742,0,1268849.16728008,190926.520823553
17764,0,1266313.44433349,193051.801657721
17859,0,1270281.96100955,189771.023798361
17868,0,1266201.06263737,191095.508983731
17911,0,1268970.82155222,191089.25509572
18149,0,1267355.25982256,189776.638262376
18491,0,1269562.52971281,185814.426418319
18606,0,1271299.1712506,184460.930096924
18648,0,1270823.9028341,184463.426480934
18671,0,1269851.89624111,184471.875632942
18683,0,1269008.08132824,184811.664305285
18690,0,1269534.84600079,184815.038001299
18691,0,1269250.50769649,184813.70008128896
18738,0,1270501.55211377,184464.777840942
18761,0,1270518.88145779,185094.372081578
18769,0,1271624.09969893,185765.841522262
18774,0,1268033.20599926,185534.516850024
18786,0,1268486.99543971,185302.096369788
18787,0,1268221.93687944,185298.69944179096
18794,0,1270177.35262544,184467.860528931
18826,0,1270893.95192218,185782.253234282
18838,0,1267572.02775878,185804.458546311
18839,0,1267558.78827076,185308.498929799
18843,0,1268881.54283212,185158.892593652
18844,0,1268218.44343944,185165.690481648
18852,0,1269525.46283278,184476.30929695105
18861,0,1270251.20120151,185098.143729582
18864,0,1270482.72504176,183834.969712287
18872,0,1269008.08068825,184642.577393115
18880,0,1269218.78724846,185003.827953488
18886,0,1268209.14065543,184810.270897284
18890,0,1269245.97060849,184541.986033008
19089,0,1267428.66519862,193037.120633706
19137,0,1267768.99486297,187598.34373214803
19138,0,1268099.94897532,187600.139380142
19139,0,1268106.14052732,187814.77112436303
19140,0,1267765.16747098,187800.255092353
19141,0,1268185.3641434,188385.310708955
19142,0,1268094.16977531,188384.205044955
19143,0,1268095.67729531,188136.356468692
19144,0,1267817.35307103,188056.835316613
19145,0,1268268.02603149,188150.907636717
19167,0,1266082.56420526,191983.041656628
19218,0,1271059.90955435,189732.038006335
19219,0,1271223.02014652,189732.038006335
19256,0,1271568.01713887,188880.307061464
19263,0,1271002.53765029,189281.506421864
19268,0,1269959.14993723,189113.32990969703
19270,0,1270265.13950554,189105.734453693
19456,0,1268752.69367999,192312.558712974
19457,0,1268643.16311987,192315.606648982
19695,0,1271540.57067484,186938.419891462
19696,0,1271631.71646693,186952.743027478
19698,0,1271930.67486724,186956.157363489
19716,0,1271981.49694729,188049.348084599
19735,0,1266202.54263738,191325.369783968
19754,0,1269639.5629929,188775.048437342
19757,0,1269633.75787289,188462.993269026
19758,0,1270199.73016147,188426.882100999
19762,0,1270094.86884937,188370.63224493
19798,0,1270587.40523386,189732.90443833204
19799,0,1270271.79864155,189255.601909846
19815,0,1271588.96625888,187452.92376399
19826,0,1270260.91704153,188820.361013398
19849,0,1271078.20216237,188881.048885465
19865,0,1270403.89675368,188535.21560511
19878,0,1270970.56331426,188936.60453350804
19905,0,1272657.80203599,187048.233331576
19909,0,1270678.54942596,189087.808949664
20141,0,1269718.86891298,191358.124279991
20184,0,1265538.74577269,190784.999159411
20218,0,1270168.61310543,190260.07499887
20219,0,1270219.37387349,190403.052727014
20230,0,1267251.35716645,185804.493042305
20247,0,1267233.93822244,185578.38321808
20414,0,1268135.03191936,191754.995256394
20418,0,1268318.71230355,191778.25893642
20420,0,1268647.22507188,192186.730552837
20422,0,1268257.60119948,191915.064760566
20423,0,1268498.26571172,192188.921208844
20483,0,1271842.34008315,188277.422132835
20552,0,1268437.31179166,194366.602235079
20561,0,1265841.02858901,191806.415416449
20694,0,1267841.26116705,190999.521655634
20705,0,1267555.94903876,191716.877816364
20706,0,1267570.60094278,191489.104696125
20707,0,1267585.24721479,191261.420407891
20709,0,1267946.58903916,191967.948216617
20710,0,1267956.86558317,191740.76984839104
20711,0,1267967.47646318,191512.93861615696
20786,0,1265922.62852509,191371.95692001295
21153,0,1270115.91768138,191065.964151695
21154,0,1269608.97675286,191054.680055678
21168,0,1270825.1594101,189741.158390343
50,1,1270588.07550587,248855.032242864
51,1,1270458.83204973,249104.497331128
208,1,1272767.9543561,247459.440881446
209,1,1273438.45598878,247439.566897422
231,1,1271726.48536304,250747.195124805
232,1,1271871.00305918,250735.363508791
264,1,1274266.19845363,251901.893941984
286,1,1274176.87346154,250599.453620657
287,1,1274844.53752622,250577.064244628
352,1,1271075.48568237,248046.229746044
353,1,1271438.86974673,248035.366578028
406,1,1273664.10021302,253277.453879401
407,1,1273862.04011722,253270.108727396
498,1,1274853.81765424,251630.758645713
499,1,1275298.70815068,251615.483125702
610,1,1272871.12837221,253435.45522356
611,1,1273010.55627635,253430.246199563
632,1,1269706.14161696,247540.63825751803
633,1,1270104.52600136,247532.551345512
790,1,1271510.85944282,249880.248371914
791,1,1271519.25086682,250160.051956207
813,1,1274530.8061979,252146.087030247
855,1,1275881.38648729,250013.627060056
856,1,1275885.30968729,250277.505460322
888,1,1271486.83749078,250623.743924677
891,1,1272118.23653144,248015.108082011
892,1,1272126.28472345,248284.857202291
943,1,1272148.23352346,249016.966963038
944,1,1272817.71806815,248993.044787019
1164,1,1271703.57432301,246551.706800506
1165,1,1272007.12849931,246683.24792064697
1394,1,1269568.75307283,246744.670000717
1395,1,1270084.47256134,246733.874416694
1512,1,1273702.28779705,251148.97912521695
1513,1,1273836.8239892,251144.115637213
1543,1,1273867.35410123,253525.533111647
1544,1,1274199.98597357,253516.564279646
1568,1,1269742.628401,245416.677615345
1569,1,1269748.66155301,245676.593775615
1617,1,1271561.45253086,254787.508920953
1649,1,1271677.80069098,250154.408308208
1650,1,1270987.97989027,252696.43896681105
1651,1,1271146.43595444,252946.071991056
1709,1,1275585.42904699,250287.026804343
1717,1,1274503.26392588,249745.468467787
1718,1,1274833.28587821,249736.719795778
1781,1,1272739.72018006,246397.377392352
1882,1,1274526.74315789,251641.370229721
1883,1,1274528.4761499,251893.392693982
1920,1,1271485.71416278,249040.533875063
1953,1,1273089.34418042,249545.254963577
1954,1,1273339.01099668,249537.546355575
2029,1,1275177.93509457,253490.023991615
2030,1,1275484.04901488,253513.60498364296
2037,1,1273537.47218089,253800.537143931
2038,1,1274202.35211757,253782.566711918
2074,1,1273860.65298122,253030.03013514
2150,1,1273615.98251696,250085.904180124
2151,1,1273901.41304526,249588.391667619
2336,1,1273207.74187654,253849.20504798004
2337,1,1273200.83870853,254082.10546422
2409,1,1273023.10808437,251248.747637317
2410,1,1273299.14718865,251312.543093383
2667,1,1274855.12082224,251882.804789975
2668,1,1275299.81119069,251867.540341958
2736,1,1274856.42591023,252134.895158231
2737,1,1275116.2843425,252125.96402221904
2793,1,1271948.02853125,253469.448247597
2794,1,1272208.96171552,253459.929911584
2801,1,1275577.14066297,249722.51576376
2802,1,1275581.54130298,250023.137844071
2824,1,1274164.18712553,249454.305011481
2825,1,1274497.06315787,249445.50123547
2884,1,1273289.31589264,252761.206518874
2885,1,1273526.69797288,252752.395190865
2896,1,1275572.72767097,249422.430387452
2897,1,1275874.32773528,249533.979763567
2929,1,1273475.97163682,249533.265523568
2930,1,1273491.10418084,250089.55934813604
3143,1,1275893.65906329,254655.670904815
3144,1,1275933.11896734,254654.38252081
3201,1,1275889.3641513,251339.145717412
3202,1,1276184.43768759,251326.469557405
3276,1,1270718.719602,253004.13061511505
3277,1,1270963.90385824,253162.545335278
3333,1,1273463.6783888,248505.108402506
3334,1,1273469.76958881,248765.363506779
3357,1,1270832.98315412,249145.917171165
3381,1,1271823.35454713,250149.188148201
3507,1,1274559.83435793,252520.836278617
3508,1,1274590.39794196,252712.949430823
3584,1,1270058.59102532,245670.446127608
3804,1,1269575.38692883,247008.427376986
3810,1,1274149.38110951,248744.582706764
3811,1,1274465.21310984,248780.188594788
3847,1,1270747.42597003,246720.610672683
3889,1,1274223.43045358,251395.940917477
3890,1,1274264.15250163,251649.890869737
3969,1,1271393.08869068,253490.063991621
3970,1,1271398.4210427,254148.050232291
4129,1,1269754.68644901,245936.570927888
4130,1,1270064.73438533,245930.472495869
4133,1,1272097.78315541,247208.61400118505
4134,1,1272763.43832409,247188.971313164
4180,1,1272868.4328842,253172.946551293
4213,1,1273431.94782878,247169.187889144
4311,1,1274136.02680551,248480.155698493
4312,1,1274808.56152619,248459.931058466
4373,1,1271494.1232508,249320.449011341
4374,1,1272156.63672347,249296.823411331
4375,1,1269581.76683283,247272.126001254
4376,1,1270097.50468937,247261.723761246
4453,1,1275269.40178266,251104.658357173
4454,1,1276182.96658359,251063.78373313
4709,1,1274195.66738155,251131.14354120204
4710,1,1274849.84159023,251108.876853183
4735,1,1271324.00907461,248308.666226313
4835,1,1273209.42891654,253160.309751272
4875,1,1272074.08273938,246417.24414438
4924,1,1274867.36786225,253764.599863902
4970,1,1273451.1961488,247975.305713966
4971,1,1273457.5153168,248245.252018243
5072,1,1273789.70526914,251917.339766011
5073,1,1273791.43230915,252169.365238264
5082,1,1272747.61221208,246661.238768622
5083,1,1273419.27883677,246641.164336607
5124,1,1272134.10885145,248544.630322546
5136,1,1272528.99883585,252789.425654903
5137,1,1272864.4095882,252780.983414888
5234,1,1271478.81617878,247086.345841065
5235,1,1271251.18545854,247628.162673607
5309,1,1275174.41509457,253003.433079123
5342,1,1272173.50181149,249856.512883902
5356,1,1273444.7322128,247701.43448169497
5477,1,1269185.95172843,247213.944369197
5603,1,1270368.70161764,245664.436271608
5604,1,1270720.557234,245657.63543959
5696,1,1273338.85714068,250740.445492804
5697,1,1273733.82546109,250081.821812123
5751,1,1273065.9564044,248776.850994796
5752,1,1270729.75371401,254170.182072312
5753,1,1270749.91019402,254815.68146497
5963,1,1274604.46974997,252143.648694232
5978,1,1271502.4782588,249600.307379633
6046,1,1274175.40760554,250356.069940403
6047,1,1274841.88530222,250311.178292364
6048,1,1269965.01675323,248279.910066277
6049,1,1269926.45150518,248471.354866475
6085,1,1271940.90059525,252811.254006922
6086,1,1272198.20024352,252801.796662912
6093,1,1269722.43486498,248088.204082087
6127,1,1271833.18129914,247097.07972906495
6128,1,1272168.16555548,246942.640432909
6162,1,1272783.99768412,247995.257393986
6183,1,1272680.43486801,250827.553588897
6184,1,1272525.15435585,251086.389045149
6206,1,1274186.20286955,250865.573172927
6258,1,1270362.62161763,245404.508975342
6286,1,1272872.8570762,253645.635575771
6367,1,1273238.49643658,250710.627636775
6472,1,1270552.84100983,253255.520823374
6473,1,1271047.19569834,253502.64632763
6504,1,1271170.82763447,246964.801776931
6505,1,1271055.46763435,247239.724785224
6546,1,1273787.78501314,251665.346549749
6584,1,1274197.68312556,253257.609079376
6593,1,1271891.3281792,254777.374072939
6594,1,1271974.36638728,254774.823224932
6644,1,1270374.78168164,245924.37476787
6672,1,1273533.60997288,251394.198453471
6737,1,1271471.49112277,248564.41112257505
6990,1,1270447.25924972,248687.251442701
7015,1,1272102.12760341,247479.527793467
7016,1,1272110.00920342,247741.32945773
7171,1,1271506.3798268,246166.700080112
7172,1,1271408.27045071,246436.604016393
7178,1,1274865.36453424,253498.622711629
7238,1,1272786.37330012,251714.964853793
7239,1,1273069.39179641,251789.399093881
7342,1,1272826.08715616,249272.86769929496
7397,1,1275908.68498331,253325.395063445
7398,1,1275902.1574313,253988.187704131
7407,1,1272540.13067587,253447.68875958
7408,1,1272546.44856387,254099.543736234
7499,1,1273599.74731696,248761.392690778
7500,1,1273617.82802097,249528.944947556
7612,1,1274525.18904589,251385.828085467
7695,1,1272865.7228682,252908.970359027
7696,1,1273412.27333276,252888.666295007
7713,1,1275568.32440697,249122.302387148
7823,1,1275282.34962267,251359.889461443
7824,1,1275590.34667899,251349.416053429
7827,1,1270939.71000223,247513.925041497
7828,1,1270661.21316995,248176.60645017
7845,1,1276172.06341559,249633.868339673
7882,1,1272811.49106014,248784.5071228
7911,1,1271387.74520269,252884.660023004
7923,1,1271384.87909068,252594.034294695
7931,1,1272981.58520432,251150.94040522
8050,1,1271166.10392246,249892.531507939
8051,1,1271394.45912269,250164.500788212
8054,1,1271688.49528299,253479.320567608
8140,1,1272782.53406811,252234.885430336
8181,1,1275673.69695108,254662.540344819
8184,1,1273518.26885286,251915.247926012
8236,1,1272584.74968392,252425.967414528
8282,1,1271883.4495872,254130.34879227
8290,1,1275199.35928659,254677.28472884
8345,1,1271400.6739707,246169.72664012
8681,1,1275667.08440706,253334.569591463
8750,1,1276178.6831276,250268.190516323
8821,1,1274157.85976551,249160.35089919
8834,1,1272799.82014813,248524.762930527
8916,1,1271040.74392232,254160.209016308
8917,1,1271039.05169833,254797.815032959
8979,1,1270937.68177822,249620.36241965
9180,1,1275247.55602264,249428.687923461
9290,1,1275594.05176699,248435.333298445
9291,1,1275597.64459899,248691.508018702
9471,1,1275891.1433513,251669.139829755
9481,1,1274170.42238954,249754.298163787
9487,1,1269561.85054481,246480.726000443
9561,1,1272145.12849946,250712.935028777
9562,1,1272421.97477174,250726.889396787
9647,1,1273875.23922123,253011.445559129
9648,1,1274195.38066156,252997.73394312
9698,1,1274204.68216556,254046.739704192
9768,1,1270713.972914,245397.159279332
9797,1,1270389.22129767,253510.427511632
9798,1,1271050.96401834,253827.57515996703
9853,1,1273735.02891709,249525.270131558
9868,1,1270180.87755345,248345.163890347
9883,1,1271298.96913859,254789.911480948
9939,1,1276180.76811959,250663.29765272103
10085,1,1272386.55256371,252220.69157432
10099,1,1270052.54808132,245410.497839347
10110,1,1272755.49637209,246925.110256895
10158,1,1274827.45650221,249436.740403473
10209,1,1273600.50258096,250809.910580873
10241,1,1270844.97886613,249623.77483566097
10271,1,1273099.64990844,251528.57874161
10272,1,1273516.07851687,251653.371189743
10292,1,1274490.65170187,249145.658995166
10380,1,1270070.94110534,246201.116656154
10381,1,1270077.56542534,246470.14500843
10391,1,1269180.10360043,246966.692208931
10441,1,1275300.93618269,252119.616950214
10557,1,1275509.4961189,254001.74079214
10558,1,1275527.18904692,254667.069176823
10585,1,1274291.64062966,249150.97297917295
10596,1,1270727.11627401,245917.13591986903
10651,1,1274821.66322219,249136.940147161
10652,1,1275241.79557464,249128.648819149
10681,1,1270091.11262536,246997.91064097
10682,1,1270754.10110603,246984.698096961
10792,1,1272386.5627397,252616.91781471705
10919,1,1270475.69784175,247526.047089517
10981,1,1271306.0517626,255414.085433587
11006,1,1271203.5769465,250693.16869275304
11085,1,1274017.16446938,249395.188339427
11126,1,1269982.52459325,248192.996210188
11428,1,1273528.11589287,252884.362806991
11447,1,1275253.33195864,249728.676211759
11501,1,1273425.58987677,246905.04043287
