Nodes Removed,Fraction of Nodes Removed,Mean Core Proportion,Std Dev Core Proportion
0,0.0,1.0,0.0
1,4.292213923941969e-05,0.9999407674478501,4.7711196606033846e-05
2,8.584427847883938e-05,0.9998892608807616,5.635073716981304e-05
3,0.0001287664177182591,0.9998351789853208,6.444613058329632e-05
4,0.00017168855695767876,0.9997810970898786,7.296763670700438e-05
5,0.00021461069619709846,0.9997115632243113,9.326655922768153e-05
6,0.0002575328354365182,0.9996591982144387,0.00010872441363691306
7,0.00030045497467593785,0.999601682547858,0.00011454342040773306
8,0.0003433771139153575,0.9995501759807707,0.00012177790798387927
9,0.00038629925315477725,0.9994883681002661,0.00013211096989069812
10,0.0004292213923941969,0.999432569319255,0.0001392927578321663
11,0.00047214353163361664,0.9993802043093828,0.00013792907730034225
12,0.0005150656708730364,0.999313245772169,0.00016265168959994923
13,0.000557987810112456,0.9992625976478662,0.00016661089613772493
14,0.0006009099493518757,0.999200789767362,0.00016993915150500868
15,0.0006438320885912954,0.9991449909863509,0.00017036142578976852
16,0.000686754227830715,0.9990591467078721,0.00027681818356154234
17,0.0007296763670701348,0.9990016310412912,0.00028365137203086905
18,0.0007725985063095545,0.9989415400463559,0.0002919475440393499
19,0.0008155206455489741,0.9988865997081297,0.00029692814964117826
20,0.0008584427847883938,0.9988273671559793,0.0002961863980883114
21,0.0009013649240278136,0.9987689930466135,0.0002953142996913543
22,0.0009442870632672333,0.9987192033650956,0.00029766557718035073
23,0.000987209202506653,0.9986668383552239,0.0003000143931317562
24,0.0010301313417460727,0.9986093226886424,0.00029984117429088616
25,0.0010730534809854923,0.9985560992359861,0.0002991965601680776
26,0.001115975620224912,0.9984994420121899,0.0002986048527558272
27,0.0011588977594643318,0.9984470770023176,0.00029820107970378074
28,0.0012018198987037514,0.9983990042063695,0.0002997489958265582
29,0.001244742037943171,0.9983526482959908,0.00030068666489604744
30,0.0012876641771825909,0.9982959910721949,0.0002993799981538733
31,0.0013305863164220105,0.9982401922911839,0.0002966289388474788
32,0.00137350845566143,0.9981809597390331,0.00031069106805438237
33,0.00141643059490085,0.998118293415744,0.00031963134656915615
34,0.0014593527341402695,0.9980607777491629,0.00033365607140447103
35,0.0015022748733796892,0.998004120525367,0.00033646686577845105
36,0.001545197012619109,0.9979337282170141,0.00034337818696716216
37,0.0015881191518585286,0.9978822216499269,0.00034950430842815616
38,0.0016310412910979482,0.9978144046699288,0.0003516305716113054
39,0.001673963430337368,0.9977663318739807,0.0003520620280373464
40,0.0017168855695767877,0.9977019486651213,0.0003514597278171215
41,0.0017598077088162075,0.9976435745557559,0.00035324164363567624
42,0.0018027298480556271,0.9975843420036057,0.000360447848512664
43,0.0018456519872950467,0.9974924886256334,0.000387830921572374
44,0.0018885741265344666,0.9974212378744959,0.0003858067653584207
45,0.0019314962657738862,0.9973705897501933,0.0003847519109868738
46,0.001974418405013306,0.9973113571980428,0.0003909224404966876
47,0.0020173405442527256,0.997254699974247,0.00039169456490482224
48,0.0020602626834921455,0.9971954674220963,0.0004087855507597062
49,0.002103184822731565,0.9971396686410852,0.0004074448359569802
50,0.0021461069619709847,0.997077002317796,0.0003988065013067785
51,0.0021890291012104045,0.9970117606661512,0.0004100706695229362
52,0.002231951240449824,0.9969499527856468,0.0004092179737462591
53,0.0022748733796892438,0.9968932955618506,0.00040664190972761226
54,0.0023177955189286636,0.9968400721091938,0.0004075470117197114
55,0.002360717658168083,0.9967808395570437,0.0004078280889422102
56,0.002403639797407503,0.9967276161043864,0.00041004101686354456
57,0.0024465619366469227,0.9966778264228688,0.0004124994000080423
58,0.002489484075886342,0.9966151600995791,0.0004177371705008498
59,0.002532406215125762,0.9965533522190745,0.00042310432080565965
60,0.0025753283543651817,0.9964889690102156,0.00042098720354499943
61,0.002618250493604601,0.9964254442441411,0.00041694522755011574
62,0.002661172632844021,0.9963747961198388,0.0004191636440842186
63,0.002704094772083441,0.9963112713537643,0.00040323151109456873
64,0.00274701691132286,0.9962468881449051,0.00040357403043945334
65,0.00278993905056228,0.9961885140355394,0.00039683833226289764
66,0.0028328611898017,0.9961361490256674,0.0003976258422710048
67,0.0028757833290411192,0.9960786333590864,0.0004017989117164533
68,0.002918705468280539,0.9960271267919993,0.0003971316279797706
69,0.002961627607519959,0.9959730448965574,0.0003896885869468066
70,0.0030045497467593783,0.9959249721006094,0.0003907951762009036
71,0.003047471885998798,0.995865739548459,0.0003878641721894389
72,0.003090394025238218,0.9958150914241567,0.0003904027527461284
73,0.0031333161644776374,0.9957464160013736,0.00040676512192285757
74,0.003176238303717057,0.9956957678770709,0.00041071261810850295
75,0.003219160442956477,0.9956442613099837,0.00040694534312591383
76,0.0032620825821958964,0.9955738690016307,0.0004087882548238904
77,0.0033050047214353163,0.9955112026783417,0.0004274226193990641
78,0.003347926860674736,0.9954579792256847,0.00042885124395115605
79,0.0033908489999141555,0.9954073311013819,0.00042637912054898454
80,0.0034337711391535753,0.9953395141213839,0.00041206058452094755
81,0.003476693278392995,0.9952897244398659,0.0004056366982147491
82,0.003519615417632415,0.9952330672160699,0.0004124466953317929
83,0.0035625375568718344,0.9951798437634132,0.0004103724655382557
84,0.0036054596961112542,0.9951051592411365,0.00041231713826614174
85,0.003648381835350674,0.9950433513606319,0.0004180219731961724
86,0.0036913039745900935,0.9949849772512661,0.00041873709218888996
87,0.0037342261138295133,0.9949214524851917,0.0004258983736619806
88,0.003777148253068933,0.9948682290325351,0.0004316319980195638
89,0.0038200703923083525,0.9948167224654477,0.0004349823701398688
90,0.0038629925315477724,0.9947634990127908,0.00043144757054267084
91,0.003905914670787192,0.9947034080178554,0.00043374727776323966
92,0.003948836810026612,0.994642458580136,0.00043820035782820356
92,0.003991758949266031,0.994580650699631,0.0004440572764770608
94,0.004034681088505451,0.9945274272469737,0.00044986415455352386
95,0.004077603227744871,0.9944784960082411,0.000451867191011174
96,0.004120525366984291,0.9944252725555842,0.00044948641312209515
97,0.00416344750622371,0.994374624431282,0.0004495495286734224
98,0.00420636964546313,0.9943231178641944,0.0004558492849667498
99,0.00424929178470255,0.9942647437548287,0.00045939844542808186
100,0.004292213923941969,0.9942089449738175,0.0004657667218251164
101,0.004335136063181389,0.9941522877500212,0.00046368308449731095
102,0.004378058202420809,0.9940956305262256,0.0004651587702240808
103,0.0044209803416602285,0.9940466992874925,0.00047028642328735963
104,0.004463902480899648,0.9939943342776205,0.00046410246576453424
105,0.004506824620139068,0.9939342432826851,0.0004580771677976016
106,0.0045497467593784875,0.9938707185166106,0.0004501711941669506
107,0.004592668898617907,0.9938235041634478,0.0004496183718974655
108,0.004635591037857327,0.9937677053824361,0.00045908634070291997
109,0.004678513177096747,0.9937144819297795,0.00045990105785809497
110,0.004721435316336166,0.9936595415915528,0.0004614910486242762
111,0.004764357455575586,0.9936028843677568,0.00046108527471698036
112,0.004807279594815006,0.9935427933728218,0.0004765061172013846
113,0.004850201734054425,0.9934801270495321,0.00047628104606632675
114,0.004893123873293845,0.9934269035968754,0.00047587549491259176
115,0.004936046012533265,0.9933762554725726,0.0004796106855166608
116,0.004978968151772684,0.9933195982487766,0.00048657579036004623
117,0.005021890291012104,0.9932629410249806,0.0004935829530909907
118,0.005064812430251524,0.9931873980599195,0.0005275087256791614
119,0.005107734569490943,0.9931333161644775,0.0005260013159829951
120,0.0051506567087303634,0.9930783758262512,0.0005274926600582244
121,0.005193578847969783,0.9930294445875183,0.0005203324735407917
122,0.005236500987209202,0.9929736458065068,0.0005221174352177274
123,0.0052794231264486225,0.9929152716971419,0.0005329547158730014
124,0.005322345265688042,0.9928663404584083,0.0005387027724177898
125,0.005365267404927461,0.9928088247918277,0.0005389222853244772
126,0.005408189544166882,0.992750450682462,0.0005412446017888556
127,0.005451111683406301,0.9926946519014507,0.0005453645866346839
128,0.00549403382264572,0.99263885312044,0.0005508935762709349
129,0.005536955961885141,0.9925779036827193,0.0005594281350471486
130,0.00557987810112456,0.9925169542449995,0.0005640047492116315
131,0.0056228002403639794,0.9924602970212034,0.0005639394158345332
132,0.0056657223796034,0.992410507339686,0.0005624398944687029
133,0.005708644518842819,0.9923572838870289,0.0005568912275243883
134,0.0057515666580822385,0.9923100695338654,0.0005582756443769809
135,0.005794488797321659,0.9922542707528542,0.0005629323243064518
136,0.005837410936561078,0.9921958966434891,0.0005630291879674148
137,0.0058803330758004976,0.9921435316336163,0.00056630944149416
138,0.005923255215039918,0.992080865310327,0.0005608365114700667
139,0.005966177354279337,0.9920250665293157,0.0005654655869301933
140,0.006009099493518757,0.9919538157781783,0.0005826170926093586
141,0.006052021632758177,0.9918980169971671,0.0005826392270874769
142,0.006094943771997596,0.9918370675594474,0.0006023608056813067
143,0.006137865911237016,0.9917864194351443,0.0005991758454847827
144,0.006180788050476436,0.9917349128680573,0.0005980309483170252
145,0.006223710189715855,0.9916791140870462,0.0005988221459698448
146,0.006266632328955275,0.9916207399776802,0.0006081199235353304
147,0.006309554468194695,0.991567516525024,0.0006133037522593444
148,0.006352476607434114,0.9915031333161647,0.0006230047599140289
149,0.006395398746673534,0.9914095630526226,0.0006426870523002126
150,0.006438320885912954,0.9913494720576875,0.0006651247713488777
151,0.0064812430251523735,0.9912945317194608,0.0006603701895813412
