Node ID,Longitude,Latitude
0,1272454.59576377,196821.621245593
1,1272445.65285176,196530.332157284
2,1272798.19742812,229164.418078706
3,1272804.96216413,229595.832927153
4,1281723.54604527,282410.519317225
5,1281884.72486143,282430.77122125
6,1276763.26495218,227488.916188985
7,1276842.76677626,227487.097628996
8,1258877.97200587,249895.359603941
9,1258234.31478922,249910.516403958
10,1283765.82739136,171798.862563968
11,1284031.00665563,171794.603363961
12,1280270.93772379,213065.492622226
13,1280456.64569198,212688.49274984
14,1267298.5883345,267152.063941613
15,1267301.81995051,267450.213573918
16,1271933.94097924,224815.773914248
17,1271778.12037109,225078.95580253
18,1281468.16300501,191505.659128144
19,1281457.829053,191209.123255834
20,1278954.31929043,265172.014723584
21,1278959.35634644,265833.102980256
22,1277381.21746482,215035.505424246
23,1277630.20780107,215030.02216023198
24,1283574.34284717,261045.015423357
25,1283809.09996741,261058.46521537
26,1262965.77060206,243687.401837572
27,1262421.63684151,243696.967469588
28,1267581.43787079,255034.246649206
29,1267586.72785479,255298.186041474
30,1284988.93945661,243227.259757102
31,1285233.68665686,243221.913645104
32,1255456.75408237,196154.808572903
33,1255595.16950652,195880.616572618
34,1263108.5517862,234405.380708069
35,1262935.07281002,234409.333796084
36,1255545.10429046,216954.681042209
37,1255265.38704218,216967.281426221
38,1258800.58698179,246142.062000096
39,1258809.9760378,246596.084016562
40,1279401.98706689,212638.938061789
41,1279694.18789919,212782.37543793
42,1274815.57855019,214267.166415453
43,1275137.33906253,214259.534863442
44,1278606.39973807,260543.99148684702
45,1278505.30936997,261207.579775527
46,1263738.66269885,193118.371449798
47,1263720.30877884,192449.732985109
48,1256988.76483594,256314.264378503
49,1256994.74377994,256567.370490775
50,1279509.896635,249937.870963976
51,1279510.548475,250601.042228654
52,1259622.40195863,247186.093681157
53,1259624.42359065,247281.280817255
54,1270588.07550587,248855.032242864
55,1270458.83204973,249104.497331128
56,1263328.80791444,257652.461179882
57,1263339.08772244,258310.205628559
58,1269852.56356911,286351.478297263
59,1269931.3242092,286352.081305265
60,1270761.20017804,281362.060756162
61,1271109.72933041,281358.539796159
62,1268277.31735949,172954.348773152
