Nodes Removed,Fraction of Nodes Removed,Core Proportion
0,0.0,1.0
1,4.292213923941969e-05,0.9999570778607606
2,8.584427847883938e-05,0.9999141557215212
3,0.0001287664177182591,0.9998712335822817
4,0.00017168855695767876,0.9998283114430423
5,0.00021461069619709846,0.9997853893038029
6,0.0002575328354365182,0.9997424671645635
7,0.00030045497467593785,0.9996995450253241
8,0.0003433771139153575,0.9996566228860846
9,0.00038629925315477725,0.9996137007468452
10,0.0004292213923941969,0.9995707786076058
11,0.00047214353163361664,0.9995278564683664
12,0.0005150656708730364,0.999484934329127
13,0.000557987810112456,0.9994420121898876
14,0.0006009099493518757,0.9993990900506481
15,0.0006438320885912954,0.9993561679114087
16,0.000686754227830715,0.9993132457721693
17,0.0007296763670701348,0.9992274014936905
18,0.0007725985063095545,0.999184479354451
19,0.0008155206455489741,0.9991415572152116
20,0.0008584427847883938,0.9990986350759722
21,0.0009013649240278136,0.9990557129367328
22,0.0009442870632672333,0.9990127907974934
23,0.000987209202506653,0.9989698686582539
24,0.0010301313417460727,0.9989269465190145
25,0.0010730534809854923,0.9988840243797751
26,0.001115975620224912,0.9988411022405357
27,0.0011588977594643318,0.9987981801012963
28,0.0012018198987037514,0.9987123358228174
29,0.001244742037943171,0.998669413683578
30,0.0012876641771825909,0.9986264915443386
31,0.0013305863164220105,0.9985835694050992
32,0.00137350845566143,0.9985406472658598
33,0.00141643059490085,0.9984977251266203
34,0.0014593527341402695,0.9984548029873809
35,0.0015022748733796892,0.9984118808481415
36,0.001545197012619109,0.9983689587089021
37,0.0015881191518585286,0.9982831144304232
38,0.0016310412910979482,0.9982401922911838
39,0.001673963430337368,0.9981114258734656
40,0.0017168855695767877,0.9980685037342261
41,0.0017598077088162075,0.9980255815949867
42,0.0018027298480556271,0.9979826594557473
43,0.0018456519872950467,0.9979397373165079
44,0.0018885741265344666,0.9978968151772685
45,0.0019314962657738862,0.9978109708987896
46,0.001974418405013306,0.9977680487595502
47,0.0020173405442527256,0.9976822044810714
48,0.0020602626834921455,0.997639282341832
49,0.002103184822731565,0.9975963602025925
50,0.0021461069619709847,0.9975534380633531
51,0.0021890291012104045,0.9975105159241137
52,0.002231951240449824,0.9974675937848743
53,0.0022748733796892438,0.9974246716456349
54,0.0023177955189286636,0.9973817495063954
55,0.002360717658168083,0.997338827367156
56,0.002403639797407503,0.9972959052279166
57,0.0024465619366469227,0.9972529830886772
58,0.002489484075886342,0.9972100609494378
59,0.002532406215125762,0.9971671388101983
60,0.0025753283543651817,0.9971242166709589
61,0.002618250493604601,0.9970812945317195
62,0.002661172632844021,0.99703837239248
63,0.002704094772083441,0.9969954502532407
64,0.00274701691132286,0.9969525281140011
65,0.00278993905056228,0.9969096059747617
66,0.0028328611898017,0.9968666838355223
67,0.0028757833290411192,0.996823761696283
68,0.002918705468280539,0.6220705639969096
69,0.002961627607519959,0.6220276418576702
70,0.0030045497467593783,0.6219847197184307
71,0.003047471885998798,0.6219417975791913
72,0.003090394025238218,0.4252296334449309
73,0.0031333161644776374,0.42518671130569147
74,0.003176238303717057,0.42518671130569147
75,0.003219160442956477,0.42518671130569147
76,0.0032620825821958964,0.42514378916645207
77,0.0033050047214353163,0.4251008670272126
78,0.003347926860674736,0.4250579448879732
79,0.0033908489999141555,0.4250150227487338
80,0.0034337711391535753,0.42497210060949436
81,0.003476693278392995,0.42492917847025496
82,0.003519615417632415,0.4248862563310155
83,0.0035625375568718344,0.4248433341917761
84,0.0036054596961112542,0.4248004120525367
85,0.003648381835350674,0.42475748991329726
86,0.0036913039745900935,0.42471456777405786
87,0.0037342261138295133,0.42467164563481846
88,0.003777148253068933,0.424628723495579
89,0.0038200703923083525,0.4245858013563396
90,0.0038629925315477724,0.42454287921710016
91,0.003905914670787192,0.42449995707786076
92,0.003948836810026612,0.42445703493862136
93,0.003991758949266031,0.4244141127993819
94,0.004034681088505451,0.4243711906601425
95,0.004077603227744871,0.42377028071079065
96,0.004120525366984291,0.4237273585715512
97,0.00416344750622371,0.4236844364323118
98,0.00420636964546313,0.42364151429307234
99,0.00424929178470255,0.42359859215383294
100,0.004292213923941969,0.42355567001459354
101,0.004335136063181389,0.4235127478753541
102,0.004378058202420809,0.4234698257361147
103,0.0044209803416602285,0.4234269035968753
104,0.004463902480899648,0.42338398145763584
105,0.004506824620139068,0.42334105931839644
106,0.0045497467593784875,0.423298137179157
107,0.004592668898617907,0.37462443128165507
108,0.004635591037857327,0.37458150914241567
109,0.004678513177096747,0.3745385870031762
110,0.004721435316336166,0.3744956648639368
111,0.004764357455575586,0.3744527427246974
